date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.88,1.76,1.81,7400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.77,1.77,1.64,1.64,18300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.66,1.73,1.62,1.63,8100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.59,1.442,1.5,17500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.47,1.385,1.452,21900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.38,1.39,1.292,1.36,34400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.33,1.53,1.262,1.4,71000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.411,1.43,1.33,1.34,11300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.358,1.45,1.358,1.39,5100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.46,1.46,1.26,1.33,15100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.29,1.21,1.29,13900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.226,1.29,1.21,1.26,15000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.225,1.225,1.15,1.19,22600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.23,1.18,1.23,3600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.35,1.26,1.33,2100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.41,1.32,1.345,2600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.329,1.372,1.31,1.372,8500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.36,1.28,1.28,2300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.33,1.26,1.26,3800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.29,1.18,1.21,1600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.21,1.19,1.21,3400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.17,1.07,1.07,13900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.07,1.097,1.07,1.07,2500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.2,1.074,1.074,4100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.07,1.17,1.06,1.11,5500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.16,1.16,1.07,1.07,1600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.08,1.3,1.08,1.29,8400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.35,1.09,1.14,72100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.25,1.18,1.25,10000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.29,1.14,1.29,12600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.09,1.28,1.04,1.205,310600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.25,1.08,1.25,26500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.22,1.6,1.16,1.57,92100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.57,1.857,1.53,1.65,147500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.61,1.67,1.51,1.589,27800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.52,1.35,1.435,40400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.44,1.37,1.392,18100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.43,1.3,1.36,13100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.331,1.405,1.315,1.405,29400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.351,1.4,1.34,1.34,5600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.36,1.3,1.35,9700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.33,1.36,1.31,1.34,6800
