date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.99,6,5.97,5.99,8900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,5.94,5.84,5.86,31300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.85,5.92,5.85,5.88,7700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.9,6,5.88,5.93,44000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.93,5.95,5.87,5.87,25900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.86,5.88,5.8,5.83,35600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.87,5.82,5.84,28100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.9,5.83,5.85,50800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.89,5.94,5.89,5.94,42400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.9,5.91,5.84,5.85,48700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.81,5.84,5.7,5.7,54400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.72,5.73,5.63,5.64,156000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.7,5.64,5.69,65200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.62,5.65,5.61,5.62,167100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.71,5.64,5.7,76300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.76,5.8,5.72,5.76,65700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.8,5.82,5.76,5.8,123100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.82,5.83,5.79,5.8,10800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.84,5.79,5.8,83600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.78,5.78,5.73,5.76,99300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.77,5.82,5.7,5.71,182000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.75,5.82,5.75,5.81,109300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.83,5.58,5.79,177900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.76,5.83,5.76,5.83,40800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.9,5.96,5.9,5.94,32800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,5.97,5.91,5.95,54200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.96,5.96,5.9,5.93,6700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.96,5.96,5.91,5.94,12200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,6,5.97,5.98,48300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,5.97,5.88,5.89,11500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.93,6,5.93,6,19100
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.01,6.03,6,6.02,48700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.06,6.06,6,6.04,28800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.05,6.06,6.03,6.05,83300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.07,6.1,6.06,6.09,41900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.13,6.07,6.09,88600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.16,6.1,6.13,46400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.14,6.09,6.09,17400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.14,6.1,6.12,27800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.09,6.09,6.06,6.06,15700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.09,6.1,6.06,6.08,36000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.13,6.09,6.13,13900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.14,6.12,6.13,25300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.14,6.15,6.08,6.08,47900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.15,6.19,6.12,6.17,20700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.2,6.23,6.16,6.21,26200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.28,6.23,6.27,13300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.29,6.27,6.28,33600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.29,6.3,26700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.28,6.3,6.27,6.27,35300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.3,6.24,6.24,16000
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.27,6.24,6.24,20800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.29,6.22,6.24,24100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.23,6.23,6.16,6.17,31800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.16,6.24,6.16,6.22,24900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.26,6.28,6.24,6.26,14700
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.28,6.26,6.27,11700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.27,6.29,6.24,6.28,9300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.31,6.31,6.28,6.28,14600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.31,6.29,6.3,24700
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.32,6.36,6.32,6.33,38100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.19,6.24,6.16,6.16,36100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.18,6.19,6.15,6.15,23900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.15,6.17,6.13,6.13,21800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.16,6.22,6.12,6.13,19300
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.15,6.15,6.09,6.09,17700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.14,6.14,6.11,6.11,13000
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.13,6.16,6.13,6.14,20700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.1,6.11,6.07,6.07,15200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.14,6.11,6.12,19000
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.06,6.08,6,6.01,24300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.07,6.07,5.97,6,37800
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.96,5.96,5.9,5.94,51900
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.93,5.95,5.91,5.91,40000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,5.99,5.94,5.94,9300
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,5.95,5.9,5.9,30200
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.95,5.97,5.93,5.97,47400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.98,6.03,5.96,6,36600
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.04,6.07,6.03,6.03,20100
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.02,6.06,6.02,6.06,7900
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.09,6.13,6.09,6.13,23600
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.14,6.21,6.13,6.21,20300
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.16,6.17,6.13,6.15,5500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.08,6.11,6.06,6.09,30800
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.13,6.22,6.11,6.22,28300
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.24,6.24,6.16,6.17,35500
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.19,6.22,6.16,6.2,20000
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.18,6.19,6.15,6.16,14100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.14,6.18,6.13,6.15,24000
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.17,6.21,6.11,6.19,67300
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.21,6.26,6.21,6.22,20400
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.28,6.31,6.28,6.28,9200
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.26,6.31,6.26,6.3,16700
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.31,6.36,6.18,6.35,22300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.33,6.37,6.33,6.36,9100
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.41,6.35,6.4,25900
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.41,6.41,6.38,6.38,19600
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.36,6.33,6.35,16200
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.36,6.39,6.29,6.31,89100
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.37,6.25,6.26,13900
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.3,6.35,6.19,6.19,128200
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.21,6.26,6.21,6.24,35000
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.2,6.2,6.16,6.18,83200
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.15,6.2,6.15,6.16,28300
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.16,6.18,6.12,6.18,77400
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.19,6.22,6.17,6.2,54200
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.11,6.15,6.07,6.09,82000
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.1,6.22,6.1,6.19,69000
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.22,6.22,6.18,6.2,28800
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.21,6.21,6.17,6.18,17700
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.2,6.2,6.16,6.19,6500
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.17,6.22,6.15,6.22,78500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.27,6.23,6.23,46200
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.25,6.26,6.23,6.24,7800
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.26,6.35,6.23,6.23,7700
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.29,6.32,6.24,6.29,34000
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.27,6.31,6.26,6.29,15000
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.32,6.35,6.31,6.33,25200
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.37,6.38,6.3,6.34,13000
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.39,6.3,6.3,39700
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.3,6.31,6.28,6.31,64900
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.33,6.35,6.31,6.33,13600
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.34,6.37,6.3,6.32,11600
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.34,6.37,6.32,6.34,16700
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.29,6.34,6.29,6.29,27200
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.3,6.33,6.3,6.32,12600
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.39,6.34,6.36,29500
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.37,6.37,6.33,6.34,8200
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.37,6.37,6.3,6.33,17500
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.39,6.3,6.37,13900
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.4,6.42,6.37,6.4,25600
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.43,6.48,6.42,6.45,18900
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.48,6.49,6.46,6.47,17400
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.46,6.47,6.38,6.44,30500
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.44,6.48,6.42,6.48,25800
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.46,6.46,6.38,6.41,15100
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.42,6.46,6.34,6.38,12300
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.37,6.37,6.31,6.37,19700
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.35,6.36,6.33,6.34,36400
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.34,6.42,6.34,6.37,28200
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.37,6.4204,6.415,6.415,3015
