date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.31,14.985,14.1,14.82,4860300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.66,14.72,14.28,14.32,1126500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.36,14.38,14.18,14.3,613600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.16,14.245,13.93,14.17,1333600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.2,14.8,14.045,14.69,1169300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.62,14.76,14.46,14.52,733300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.48,14.6,14.22,14.35,905200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.59,14.915,14.31,14.85,1241500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.9,14.99,14.71,14.75,520600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.65,14.69,14.49,14.56,1198800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.29,14.58,14.105,14.52,1122500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.63,15.56,14.63,15.14,1288500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.35,15.35,14.89,15.2,907600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.31,15.83,15.31,15.51,1108900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.67,15.77,15.43,15.48,629200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.72,15.73,15.11,15.33,647100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.56,15.79,15.3,15.43,489900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.43,15.55,15.1,15.15,301800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.05,15.35,15.05,15.25,649800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.31,15.31,14.93,14.95,646400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.88,14.95,14.5,14.55,439000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.69,15,14.631,15,618200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.95,15.585,14.82,15.51,768100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.52,15.975,15.32,15.9,1204800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.87,16.030001,15.54,15.93,1169200
