date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.830002,163.289993,160.460007,161.5,3825000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161,161.729996,160.080002,160.100006,4086100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.220001,161.809998,160.169998,160.860001,3212000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),159.910004,160.550003,158.669998,159.160004,4199400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),158.690002,161.220001,157.889999,161.139999,3321700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160,160.479996,159.509995,160.080002,2617200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),160.279999,161.339996,159.740005,161.229996,2967800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),161.020004,162.229996,160.289993,162.160004,3778200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),162.970001,165.979996,162.350006,165.800003,4956400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),165.800003,167.25,165.339996,166.960007,4869600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.789993,167.820007,165.5,166.080002,4288600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),166.490005,166.990005,165.039993,166.839996,3776900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),170.589996,171.580002,169.179993,171.479996,6925800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),172.820007,174.449997,172.399994,172.830002,4926000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),172.899994,174.020004,172.479996,173.940002,3983500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),174.759995,174.860001,172.899994,173.929993,9097800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),184.960007,196.899994,184.830002,190.429993,29596200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),191.309998,192.389999,186.160004,187.419998,9895900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),187.460007,189.460007,186.050003,187.139999,6107900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),187.710007,188.649994,186.770004,187.869995,4575100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),187.050003,187.649994,183.139999,183.660004,8876100
