date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.020004,128.419998,125.699997,126.449997,2228000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.059998,126.279999,124.790001,124.809998,3102100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),124.849998,126.510002,124.360001,125.620003,2845500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),125.769997,126.230003,125.07,125.790001,2061500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.160004,128.5,126.949997,128.410004,3165500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.709999,128.5,126.720001,127.040001,1835600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.220001,127.690002,126.18,127.650002,1977000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.800003,128.160004,126.169998,126.769997,1723300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.309998,127.889999,126.639999,126.959999,1555000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.470001,126.839996,125.849998,126.029999,2289100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),125.129997,126.279999,124.650002,125.830002,1535700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),125.769997,126.760002,125.389999,126.629997,2267300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.089996,127.309998,125.690002,126.449997,2449700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.800003,127.790001,126.720001,127.300003,1904600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.129997,127.699997,126.769997,127.139999,1543400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.580002,127.580002,126.349998,127.040001,2278600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.489998,127.720001,126.239998,127.290001,2043500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.089996,127.639999,126.349998,127.260002,1497800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.190002,128.199997,126.839996,128.179993,1934300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128.220001,129.399994,128.020004,129.020004,1646900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.350006,129.929993,127,127.330002,2406400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.07,129.860001,127.07,129.729996,2380800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),129.600006,129.960007,127.68,128.699997,1810900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),127.989998,127.989998,126.519997,126.75,2405500
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.720001,127.150002,125.720001,126.330002,2901400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),126.629997,128.210007,126.360001,128.080002,2243800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.029999,135.979996,131,134.119995,5492000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.509995,135.740005,132.919998,135.490005,4066600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.789993,136.220001,134.679993,135.460007,2099300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.029999,135.350006,133.660004,134.410004,3024700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.190002,136.729996,134.839996,136.660004,2125500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.929993,137.919998,136.679993,136.889999,2020300
