date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.1,10.23,9.96,9.97,458300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.88,10.26,9.64,9.93,643700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.97,10.11,9.85,10.05,431500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.9,10.15,9.9,9.98,730500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.98,10.115,9.68,9.83,468200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.7,9.87,9.47,9.52,476700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.59,9.59,9.18,9.27,497800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.31,8.79,8.86,701200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.06,9.18,8.73,8.91,472200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.19,9.225,8.65,8.66,466300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.45,8.49,8.02,8.28,672400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.45,8.16,8.28,336400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.35,8.41,8.09,8.31,391200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.38,9.087,8.37,9.04,349800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.4,8.78,9,859000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.23,9.39,9,9.23,646600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.32,9.41,8.99,9.17,634100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.22,9.655,9.18,9.18,523800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.2,9.37,8.89,9.2,820400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.1,9.18,8.6,8.65,605800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.61,8.69,8.312,8.36,740400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.49,8.9,8.43,8.89,416200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.72,8.88,8.51,8.58,353700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.41,8.445,7.97,8.18,700700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.43,8.17,8.28,278200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.32,8.35,8.11,8.19,281800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.26,8.04,8.14,241100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.17,8.58,8.13,8.56,372700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.72,8.46,8.55,257200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.24,8.33,7.83,7.9,424800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.105,7.59,7.65,1125500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.73,7.9,7.65,7.81,670100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.78,7.86,7.59,7.78,320700
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.71,7.43,7.48,692300
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.6,7.41,7.46,234100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.46,7.51,7.29,7.47,320000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.43,7.73,7.43,7.67,228900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.75,7.46,7.67,313200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.79,7.99,7.68,7.69,524600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.59,7.66,7.35,7.41,471600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.59,7.72,7.29,7.4,347500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.44,7.74,7.32,7.64,717700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.71,7.9,7.41,7.79,489700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.73,7.795,7.58,7.77,416100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,8.83,7.885,8.66,736400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.81,9.53,8.81,9.33,736700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.44,9.56,8.67,8.75,343400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.59,9.07,8.59,8.83,258700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.84,8.85,8.64,8.74,191600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.64,9.34,8.64,9.04,428400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.03,9.05,8.65,8.77,367200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.66,9.37,8.66,9.26,947300
