date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.92,1.69,1.75,39700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.72,1.61,1.64,4700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.4,1.59,1.4,1.51,9700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.28,1.48,1.28,1.36,26900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.48,1.39,1.39,4600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.43,1.43,1.43,500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.43,1.38,1.38,3300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.38,1.3,1.31,7400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.4,1.37,1.4,8900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.4,1.32,1.37,7900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.33,1.27,1.33,2900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.31,1.26,1.28,2700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.27,1.32,1.27,1.32,1500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.33,1.26,1.26,5200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.26,1.32,1.26,1.31,6800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.28,1.25,1.28,3600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.35,1.27,1.27,3400
