date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.62,4.79,4.61,4.74,382200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.78,4.575,4.66,306500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,4.78,4.6,4.6,384500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.57,4.765,4.5,4.7,516300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.69,4.745,4.62,4.62,484600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.55,4.63,4.435,4.58,339000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.57,4.625,4.52,4.54,284200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.52,4.52,4.17,4.31,408600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.28,4.38,4.21,4.28,450400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.24,4.04,4.08,491900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.99,4.005,3.83,3.98,646700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.03,4.03,3.82,3.84,254100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.83,3.95,3.73,3.93,288300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.88,4.13,3.87,4.04,359600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.22,4.035,4.14,342600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.26,3.915,3.94,257200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.01,4.165,3.995,4.14,246700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.235,4.09,4.13,186300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.3,4.12,4.28,266900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.3,4.16,4.21,224500
