date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.7,0.73,0.68,0.68,56700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.65,0.72,0.65,0.69,29100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.69,0.7,0.68,0.7,38000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.69,0.72,0.68,0.69,11100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.68,0.69,0.66,0.67,55000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.67,0.71,0.67,0.67,27400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.67,0.71,0.66,0.67,7100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.67,0.68,0.67,0.67,7600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.67,0.7,0.67,0.67,12200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.67,0.69,0.66,0.66,89700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.69,0.69,0.64,0.64,76800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.62,0.64,0.58,0.59,56900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.61,0.57,0.57,71700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.58,0.51,0.53,90700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.59,0.52,0.59,27700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.59,0.53,0.54,93500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.59,0.53,0.56,10300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.59,0.53,0.56,24300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.59,0.55,0.57,54800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.58,0.52,0.52,216500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.58,0.5,0.52,129100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.58,0.52,0.56,67500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.58,0.51,0.55,19400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.57,0.52,0.52,33000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.58,0.52,0.57,78000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.58,0.53,0.55,13200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.55,0.51,0.51,68400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.53,0.52,0.52,12000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.51,0.52,0.48,0.49,140100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.5,0.5,0.48,0.49,30700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.5,0.55,0.48,0.53,88400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.54,0.51,0.53,52900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.54,0.52,0.52,35000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.58,0.51,0.57,56100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.58,0.52,0.54,51900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.58,0.53,0.57,19600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.59,0.56,0.59,41300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.59,0.62,0.57,0.61,85900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.64,0.72,0.58,0.71,161500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.77,1.26,0.76,0.98,4146800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,1.2,0.88,1.14,945100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.18,1.18,0.99,0.99,307400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.12,0.95,0.98,185000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.97,1,0.88,0.91,152700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.99,0.88,0.98,67800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.98,1.01,0.92,0.98,49400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.97,1,0.94,1,32700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1,0.93,0.99,22300
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,0.95,0.9,0.93,49900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,0.94,0.81,0.87,37500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.84,0.85,0.8,0.8,38100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.82,0.87,0.8,0.86,35200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.88,0.77,0.83,64300
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.81,0.81,0.78,0.81,26600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.76,0.81,0.76,0.78,34800
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.82,0.88,0.78,0.83,12400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.78,0.88,0.78,0.88,30600
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.9,0.85,0.9,41000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,1.18,0.92,1.17,359800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.42,1.11,1.4,645600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,2,1.4,1.64,1254100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.67,1.95,1.6,1.93,430900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.79,1.48,1.75,1589000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.78,1.79,1.32,1.39,277500
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.44,1.53,1.33,1.39,135100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.44,1.65,1.42,1.63,174200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.61,1.63,1.45,1.49,71300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.51,1.59,1.48,1.55,51500
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.51,1.59,1.42,1.45,184000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.55,1.44,1.54,66200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.47,1.6,1.47,1.59,159200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.59,1.6,1.42,1.47,126400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.46,1.46,1.35,1.37,95000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.36,1.36,1.12,1.14,149400
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.15,1.35,1.04,1.13,204900
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.09,1.18,1.09,1.17,95000
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.21,1.28,1.16,1.27,65900
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.28,1.39,1.26,1.33,51100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.32,1.37,1.28,1.3,32500
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.26,1.44,1.26,1.44,69400
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.45,1.48,1.38,1.44,49300
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.44,1.48,1.33,1.35,64000
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.33,1.37,1.28,1.31,27400
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.3,1.34,1.26,1.31,35100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.32,1.29,1.31,21500
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.39,1.26,1.33,54600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.33,1.35,1.29,1.31,28300
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.29,1.36,1.27,1.28,26300
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.28,1.53,1.28,1.5,85800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.53,1.57,1.45,1.51,54000
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.52,1.52,1.38,1.38,43000
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.5,1.29,1.48,27600
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.54,1.54,1.28,1.35,61800
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.33,1.5,1.33,1.41,30200
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.45,1.37,1.4,17700
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.44,1.45,1.39,1.4,16400
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.47,1.35,1.37,42300
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.46,1.4,1.42,13700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.44,1.4,1.42,11500
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.41,1.54,1.4,1.45,68400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.49,1.57,1.46,1.51,46500
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.5,1.54,1.4,1.47,37500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.48,1.43,1.48,5800
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.48,1.5,1.43,1.46,21300
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.46,1.48,1.43,1.44,13100
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.45,1.39,1.43,22100
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.37,1.38,1.31,1.33,9700
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.39,1.39,1.33,1.34,23600
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.34,1.34,1.31,1.32,8400
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.31,1.32,1.15,1.27,60800
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.28,1.28,1.15,1.15,24900
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.18,1.28,1.12,1.28,26800
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.27,1.27,1.2,1.22,16600
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.22,1.22,1.17,1.2,11500
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.17,1.19,1.1,1.12,14300
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.17,1.17,1.09,1.09,38600
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.1,1.15,1.06,1.07,15400
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.05,1.1,1.05,1.06,16400
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.06,1.12,1.03,1.12,40800
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.14,1.16,1.05,1.07,55000
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.08,1.14,1.08,1.1,10500
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.14,1.15,1.11,1.11,4900
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.14,1.15,1.1,1.13,13600
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.13,1.2,1.13,1.16,21300
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.24,1.28,1.14,1.26,26000
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.25,1.33,1.24,1.24,21600
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.23,1.23,1.18,1.22,3600
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.19,1.46,1.19,1.36,115500
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.4,1.25,1.35,25200
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.32,1.36,1.32,1.34,8200
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.34,1.37,1.33,1.34,22700
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.36,1.46,1.36,1.43,23600
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.45,1.45,1.4,1.43,24100
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.43,1.45,1.37,1.44,20300
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.42,1.4,1.41,19100
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.4,1.53,1.4,1.45,94000
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.45,1.45,1.41,1.44,10600
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.46,1.25,1.25,60900
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.46,1.25,1.25,60858
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.42,1.46,1.25,1.25,60858
