date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.860001,27.040001,26.719999,26.85,5400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.76,26.82,26.65,26.67,2400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.82,27,26.700001,26.76,4600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.620001,26.719999,26.5,26.639999,3900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.469999,26.74,26.290001,26.74,12000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.549999,26.57,26.290001,26.370001,4700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.549999,26.75,26.110001,26.129999,13100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.73,27.84,27.4,27.530001,32700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.26,27.360001,27.15,27.360001,3900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.040001,27.1,26.950001,27.01,7500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.01,27.049999,26.809999,26.92,4000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.129999,27.290001,26.940001,27.18,2200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.629999,27.67,27.5,27.6,8000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.73,27.870001,27.68,27.68,10400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.219999,27.5,27.219999,27.42,5500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.549999,27.65,27.440001,27.440001,4500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.299999,27.379999,27.15,27.299999,5200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.17,27.219999,27.040001,27.18,3600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.01,27.17,26.76,27.059999,11100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.23,27.26,27.08,27.15,8200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.25,27.299999,26.860001,26.879999,4000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.84,26.969999,26.75,26.92,3600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.540001,26.620001,26.25,26.5,7200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.290001,26.450001,26.190001,26.440001,6900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.49,26.5,26.25,26.290001,5000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.379999,26.950001,26.34,26.74,6200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.030001,28.6,26.549999,28.200001,88400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29,31.110001,28.1,29.66,188800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),30.360001,30.75,29.709999,29.879999,107200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.799999,29.91,28.860001,29.040001,55400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),29.280001,29.85,28.879999,28.940001,53400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.41,29.030001,28.26,28.27,42200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28,28.200001,27.950001,28,30900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.1,28.1,27.68,27.889999,25200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.85,27.85,27.530001,27.629999,17400
