date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.969999,21,20.65,20.65,1700
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.360001,21.360001,21.072001,21.072001,300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.072001,21.072001,21.072001,21.072001,300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.072001,21.072001,21.072001,21.072001,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.072001,21.072001,21.072001,21.072001,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.072001,21.072001,21.072001,21.072001,0
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,21,21,21,1600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.559999,21.120001,20.559999,21.120001,800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.120001,21.120001,21.120001,21.120001,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.85,20.85,20.85,20.85,500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.860001,22,21.860001,22,600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.32,21.360001,21.32,21.360001,300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,21,21,21,300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.09,21.09,21,21,2300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21,21,21,21,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.540001,21.540001,21.5,21.5,900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,21.5,21.5,21.5,1200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.5,21.5,21.5,21.5,100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.35,21.360001,21.25,21.25,2500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.25,21.49,21.25,21.49,600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.299999,21.299999,21.26,21.26,900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.25,21.25,21.25,21.25,100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.450001,21.5,21.4,21.4,1200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.450001,21.889999,21.450001,21.889999,600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.85,21.9,21.01,21.6,2600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.6,21.6,21.6,21.6,100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,22.445,21.9,21.9,2300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,22,21.9,22,1000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22.02,22,22.02,2500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.24,22.25,22.075001,22.25,3000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.125,22.25,22.125,22.25,1400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.25,22.250999,22.25,22.25,2800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.35,21.75,21.98,4000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.865,21.959999,21.865,21.959999,800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.745001,21.745001,21.745001,21.745001,700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.99,21.99,21.99,21.99,600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,22,21.51,21.870001,1100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.99,21.99,21.75,21.75,1500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.08,22.5,22.08,22.499001,3500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.5,22.5,22.4,22.4,600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.5,22.5,22.5,22.5,300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.5,22.75,22.5,22.75,5400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.75,22.75,22.732,22.75,3000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.91,22.99,22.91,22.99,1100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.98,22.98,22.98,22.98,500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23,23.23,22.799999,23.23,4700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.25,23.25,23,23.23,3700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.25,23.25,23.25,23.25,4600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.25,23.25,23.200001,23.200001,2000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.24,23.24,23.24,23.24,500
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.25,23.25,23.25,23.25,600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.49,23.5,23.49,23.5,4600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.889999,25.25,22.889999,23.799999,12500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.85,24.049999,23.85,24.049999,12700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24.1,24,24.1,4700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.219999,25.219999,23.950001,24.15,3300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.139999,24.25,24.094,24.25,6100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.799999,23.9,23.351,23.9,12900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.73,23.950001,23.4,23.950001,4600
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.475,23.950001,23.475,23.950001,1500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.950001,23.950001,23.950001,23.950001,1500
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.969999,24,23.865,24,1200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.700001,24.1,23.700001,24.1,5000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24,24.35,23.875,24.34,12400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.924999,24.35,23.924999,24.17,2100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.127001,24.174999,24,24.01,4100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.35,24.35,24.200001,24.35,2100
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.4,24.4,24.040001,24.389999,1500
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.200001,24.450001,24.200001,24.450001,2700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.440001,24.440001,24.35,24.4,2600
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.4,24.5,24.375,24.5,1600
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.35,24.4,24.200001,24.200001,4200
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.431999,24.5,24.200001,24.200001,2000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.389999,24.4,24.049999,24.4,900
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.4,24.4,24.049999,24.4,1600
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24,24,24,24,800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.059999,24.5,24.059999,24.42,4100
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.337999,24.337999,23.85,23.85,7100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.85,23.85,23.85,23.85,0
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24,24,23.790001,23.889999,2800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.82,24,23.82,23.9,700
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.809999,23.85,22.902,23.620001,6800
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.290001,23.75,23.290001,23.75,1500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.049999,24.200001,23.959999,23.959999,2900
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),23.959999,23.959999,23.959999,23.959999,0
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.299999,24.299999,23.775,23.799999,700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.1,24.25,24.1,24.25,700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.33,24.360001,24.290001,24.290001,700
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.290001,24.290001,24.290001,24.290001,0
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.4,24.4,24.4,24.4,500
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.299999,24.42,24.299999,24.35,1100
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.35,24.379999,24.299999,24.379999,1800
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.5,24.5,24.5,24.5,1000
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.51,24.51,24.450001,24.5,10100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.353001,24.353001,24.353001,24.353001,200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.5,24.5,24.424999,24.5,2300
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.49,24.5,24.25,24.5,5900
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.466999,24.466999,24.466999,24.466999,400
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.459999,24.5,23.98,24.5,2100
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.42,24.5,23.799999,24.5,4700
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.5,24.5,24.5,24.5,400
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.700001,24.75,24.700001,24.700001,3500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.25,24.25,24.25,24.25,400
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.025,24.025,23.799999,23.799999,700
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.25,24.25,24,24.25,1500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.25,24.700001,24.25,24.700001,2400
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.700001,24.91,24.700001,24.91,1100
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.9,24.9,24.775,24.889999,1000
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.85,24.91,24.85,24.91,800
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25,25,24.91,24.99,8400
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25.08,25.08,24.938999,24.99,2000
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25,25,25,25,500
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25,25,25,25,700
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),25,25,24.987,24.987,2500
