date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.37,1.4,1.3,1.32,143000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.31,1.22,1.24,127400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.24,1.4,1.24,1.39,137800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.459,1.352,1.39,130100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.563,1.34,1.5,201100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.75,1.518,1.69,389400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.93,1.64,1.66,409800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.73,1.45,1.54,272300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.6,1.48,1.52,62600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.55,1.61,1.41,1.46,159600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.53,1.42,1.52,112500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.52,1.42,1.44,136800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.42,1.28,1.34,228400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.37,1.32,1.33,96800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.39,1.31,1.34,96900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.41,1.29,1.31,221800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.35,1.29,1.3,74400
