date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,10.79,10.79,10.79,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.73,10.73,10.7,10.73,4000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.7,10.7,400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.7,10.73,10.7,10.73,600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.7,10.701,10.7,10.701,2200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.728,10.74,10.68,10.74,600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.74,10.74,10.74,0
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.74,10.75,10.74,10.75,600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.68,10.76,1500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,0
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.68,10.75,10.68,10.75,300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.75,10.75,10.75,10.75,0
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.76,10.76,10.76,10.76,100
