date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.47,5.85,5.29,5.67,240400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.62,5.62,5.23,5.275,341900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.36,5.365,5.18,5.26,164100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,6.48,5.09,6.07,2998000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.05,6.56,5.955,6.535,1118000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.35,6.5,6.04,6.05,516000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.01,6.37,5.72,6.36,545000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.31,6.48,6.011,6.285,453500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.29,6.55,5.94,5.98,613300
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.87,5.9,5.36,5.4,787700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.42,5.21,5.37,371800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.431,5.16,5.325,246600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.39,5.08,5.35,446700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.35,5.65,5.27,5.57,398000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.74,5.38,5.49,766500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.54,5.58,5.33,5.33,261600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.5,5.65,5.37,5.64,284800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.69,5.815,5.605,5.7,498000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.73,6.02,5.67,6,218000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.99,6.44,5.79,6.335,695000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.28,7.49,6.215,7.115,2038400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.49,6.93,7.27,757800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.19,7.19,6.65,6.66,468500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.49,6.85,6.331,6.71,436900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.7,7.51,6.67,7.44,780200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.43,7.74,6.97,7.68,1055100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,7.99,7.36,7.57,934000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.62,8.37,7.52,8.21,1111900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.48,9.05,8.333,8.71,1510000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.31,8.55,7.91,7.99,780800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.55,8,8.51,599900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,10.64,9.16,10.15,1730900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.92,10.27,9.461,10.03,589100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.85,10.06,9.47,9.49,723400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.49,9.07,9.39,564800
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.35,9.65,9.25,9.37,264500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.27,9.38,9.06,9.19,270500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.46,9.032,9.28,306800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.7,9.12,9.34,577500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.1,7.24,5.82,6.29,2833200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.3,6.97,6.22,6.65,1133000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.67,7.03,6.6,7.025,706300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.04,7.06,6.47,6.68,610700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.55,6.98,6.519,6.75,330800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.85,7.15,6.726,7.03,441400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.59,7.08,7.54,410400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.66,8.03,7.52,7.59,613200
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.67,7.67,7.18,7.19,220100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.13,7.2,6.77,6.98,422500
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.96,7.22,6.955,7.14,241000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.15,7.15,6.64,6.75,263400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.75,6.98,6.65,6.9,296400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.89,7.22,6.67,6.84,450000
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.8,6.98,6.76,6.85,198700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.82,7,6.64,6.89,150100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.99,7.21,6.78,7.12,303400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.14,7.14,6.84,7.07,245300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.12,7.63,7.12,7.52,329800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.65,7.84,7.55,7.74,227500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.82,8.03,7.73,7.965,242300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.92,8.19,7.9,8.07,315800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),8.07,8.07,7.52,7.54,235600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.32,7.375,6.88,7.09,286300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.01,7.21,6.905,6.94,172200
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.18,7.24,6.56,6.65,195700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.65,6.78,6.29,6.3,327600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.34,6.569,6.14,6.43,332400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.49,7.95,6.46,7.72,821200
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.41,7.71,7.15,7.4,692200
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.42,7.68,7.15,7.28,229000
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.14,7.38,6.95,7.36,250700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.38,7.4,7.06,7.16,309000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.02,7.22,6.83,6.93,211800
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7,7.04,6.75,6.95,464100
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.97,7.2,6.77,7.09,346200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.92,7.28,6.68,6.75,260800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.76,6.835,6.62,6.7,173400
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.69,7.07,6.64,6.9,184500
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.88,7.07,6.72,7.05,231100
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.99,6.99,6.42,6.48,197800
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.48,6.78,6.468,6.78,174000
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.84,7.04,6.67,7.02,203400
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.91,6.945,6.72,6.8,225500
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.83,7.33,6.72,7.05,148800
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.2,7.35,6.75,7.03,215100
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.2,7.3,7,7.15,148000
