date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.45,0.47,0.43,0.46,1079100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.46,0.47,0.44,0.47,627700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.47,0.51,0.47,0.51,927000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.51,0.57,0.42,0.45,2134700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.46,0.48,0.43,0.47,983500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.46,0.49,0.42,0.43,656900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.42,0.47,0.42,0.45,640200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.45,0.46,0.43,0.44,545800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.45,0.48,0.42,0.44,505500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.42,0.43,0.35,0.37,1190500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.37,0.39,0.36,0.39,254500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.44,0.39,0.4,483200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.43,0.39,0.4,171400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.42,0.39,0.4,160500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.42,0.4,0.41,159000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.43,0.46,0.41,0.42,379900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.44,0.44,0.41,0.41,257800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.41,0.44,0.41,0.44,406500
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.44,0.44,0.42,0.42,230800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.42,0.43,0.38,0.4,379000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.42,0.38,0.41,221400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.42,0.39,0.4,172100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.42,0.42,0.39,0.4,207000
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.42,0.39,0.39,217900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.42,0.39,0.4,173500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.4,0.41,0.39,0.39,145100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.39,0.4,0.38,0.39,297200
