date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.169998,143.710007,141.070007,142.130005,131100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.529999,141.630005,134.800003,135.339996,128900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.960007,137.029999,134.789993,134.839996,101000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.75,136.639999,132.630005,133.889999,90800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.809998,138.050003,133.559998,137.839996,100700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.940002,138.380005,135.520004,138.320007,97000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.880005,139.559998,136.740005,138.339996,91900
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.880005,141.070007,137.5,140.25,137200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),142.009995,142.509995,138.649994,139.550003,79200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.639999,139.509995,136.75,137.490005,109400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.679993,138.199997,135.679993,136.410004,98000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.509995,137.509995,133.270004,135.630005,122500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.619995,136.699997,134.020004,136.259995,61200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.410004,138.990005,136.130005,137.869995,117900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.619995,140.339996,137.169998,139.690002,113200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.639999,143.639999,136.850006,137.179993,191200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.720001,139.570007,133.979996,134.259995,153900
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.539993,138.199997,134.970001,137.009995,134400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.470001,139,134.470001,138.880005,114600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.690002,139.770004,136.410004,139.470001,101800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.100006,140.509995,138.559998,139.149994,182100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.270004,143.529999,139.759995,143.529999,165500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.970001,144.869995,141.059998,144.300003,120400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.410004,145.470001,141.039993,144.779999,113700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),144.979996,147.649994,144.220001,146.479996,131800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.100006,148.059998,143.380005,147.5,169600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.570007,151.619995,147.919998,150.75,148400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.520004,153.199997,150.550003,152.190002,121600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.470001,156.75,152.470001,155.119995,133000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.779999,151.589996,145.369995,145.800003,190900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.440002,147.440002,143.770004,146.949997,107500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),148.009995,151.449997,148.009995,150.919998,104000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.479996,152.869995,149.360001,151.990005,105100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.740005,153.320007,149.320007,152.649994,133000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.75,154.539993,150.809998,152.220001,85200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),151.880005,154.449997,149.669998,150.339996,274100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150.649994,153.410004,149.960007,152.220001,76800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),152.289993,154.289993,151.630005,152.460007,56700
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),154.389999,154.389999,152.320007,153.580002,126200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),150,150,138,145.160004,233100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),147.919998,152.330002,144.779999,146.720001,156900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),146.720001,146.720001,144.589996,145.600006,79800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),145.479996,145.479996,139.910004,140.440002,170900
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.960007,141.809998,137.940002,138.649994,108400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.889999,141.550003,137.600006,139.990005,122000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.179993,141.759995,139.449997,139.759995,93700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),141.210007,143.050003,138.929993,138.940002,90700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.419998,139.820007,137.289993,138.789993,109900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.050003,139.160004,135.110001,136.860001,160600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.740005,138.380005,136.179993,136.919998,167100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.169998,136.649994,132.630005,134.020004,216200
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.479996,135.800003,132.479996,135.320007,840400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.979996,135.869995,133.240005,133.330002,99800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.330002,136.850006,132.320007,136.759995,206800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137,139.479996,135.75,138.880005,172700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.990005,141.059998,138.669998,140.300003,126900
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.940002,141.350006,138.089996,138.800003,194500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.699997,141.020004,135.320007,135.479996,82000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.550003,136.550003,134.809998,134.830002,141100
