date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.31,10.32,10.31,10.32,500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.32,10.32,10.32,10.32,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.32,10.32,10.32,10.32,0
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,7700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.34,10.34,10.319,10.319,700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.319,10.319,10.319,10.319,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.36,10.37,10.36,10.37,1400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.37,10.37,10.37,0
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.37,10.37,10.37,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.5,10.35,10.35,6900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,0
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.4,10.4,10.4,10.4,900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.34,10.34,10.33,10.33,800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,0
