date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.06,1.06,1.04,1.04,1100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.04,1.35,0.86,0.9,10800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,1.2,0.6,0.85,6500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.86,0.927,0.86,0.87,1100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.9,0.88,0.88,600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.995,0.81,0.995,1600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,0.75,0.75,0.75,700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.958,1,0.82,0.9,2400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,1.03,0.65,0.74,45500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.8,0.85,0.79,0.82,5900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,0.75,0.65,0.74,3900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.7,0.78,0.6,0.7,7300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.69,1.2,0.69,1.19,6900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.86,0.86,0.86,0.86,3800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.88,0.33,0.86,2000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.89,0.85,0.85,900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.83,0.82,0.82,600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.77,0.81,0.77,0.77,2100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.712,0.715,0.675,0.675,1200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.634,0.675,0.634,0.675,1800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.867,0.867,0.857,0.86,1100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.86,0.86,0.86,0.86,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.9,0.72,0.72,700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.73,0.73,0.71,0.71,700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.71,0.71,0.33,0.56,2900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.65,0.697,0.46,0.697,1300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.68,0.68,0.68,0.68,200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.5,0.68,0.49,0.68,1900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.57,0.57,0.5,0.55,1600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.589,0.589,0.589,0.589,600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.589,0.589,0.589,0.589,0
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.595,0.595,0.595,0.595,700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.595,0.595,0.595,0.595,2800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.585,0.595,0.55,0.55,2500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.55,0.55,0.55,0
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.54,0.54,0.54,600
