date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.43,2.46,2.43,2.46,10000
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.448,2.52,2.379,2.46,6967
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.343,2.343,2.25,2.28,2900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.28,1.98,2.034,7400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.277,2.061,2.061,3367
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.145,2.46,2.04,2.19,4067
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.139,2.139,2.04,2.121,2000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.16,2.04,2.16,333
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.16,2.052,2.052,600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.1,1.98,2.097,3733
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.1,1.92,2.1,1867
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.1,1.92,2.097,3900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.95,2.07,1.923,1.986,967
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.04,1.923,1.95,1933
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.037,2.037,1.86,1.929,2800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.977,1.977,1.89,1.959,1333
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.86,1.953,1.86,1.89,533
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.86,1.89,1.86,1.89,1333
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.016,2.046,1.86,1.86,1833
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.935,1.935,1.86,1.86,2167
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.86,1.935,1.86,1.92,2800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.911,1.935,1.911,1.92,1167
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.932,1.98,1.89,1.89,5933
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.055,2.055,1.869,2.01,1433
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.007,2.007,1.89,1.977,3233
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.89,2.055,1.89,1.98,6200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.16,2.04,2.1,7833
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.01,2.16,2.01,2.1,1767
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.1,2.04,2.1,3033
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.31,1.98,2.196,12567
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.28,2.073,2.205,9800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.25,2.46,2.175,2.25,47400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.25,2.04,2.055,34600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.89,1.84,2.88,479200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.54,2.01,2.07,122000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.39,2.05,2.28,53700
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.24,2.373,2.12,2.195,26100
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.18,1.95,1.95,39100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.95,2.269,1.95,1.95,10700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.96,2.1,1.86,1.875,7300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.88,2.045,1.8,1.8,9700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.92,1.74,1.74,12900
