date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.889999,57.950001,55.73,57.759998,3187500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.93,58.23,57.290001,57.48,2575400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.580002,57.799999,56.830002,56.84,2489800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.84,57.02,56.220001,56.66,2898100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.560001,56.880001,56.349998,56.540001,3357500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.240002,56.459999,55.889999,56.389999,2523400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.43,56.59,55.599998,55.790001,2808000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.68,55.73,55.139999,55.25,3143200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.450001,55.75,55.040001,55.419998,3129900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.259998,55.310001,54.009998,54.139999,3256900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.91,54.82,53.709999,54.529999,1971600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.25,54.59,53.959999,54.560001,1610600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.610001,54.610001,53.830002,53.93,2017200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.639999,54,53.310001,53.610001,2652500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.799999,54.529999,53.509998,54.450001,2798600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.360001,54.400002,53.419998,53.470001,4233000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.689999,54.759998,53.509998,54.630001,2369400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.790001,55.09,54.66,54.740002,2300300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.790001,54.900002,54.540001,54.790001,2193400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.740002,55.299999,54.5,55.290001,1661800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.25,55.419998,54.75,54.759998,4600500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.689999,55.630001,53.889999,55.619999,2131000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.630001,55.900002,54.77,55.060001,2250800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.75,54.990002,54.110001,54.119999,2836400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.970001,54.779999,53.869999,54.43,3243400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.59,54.720001,53.66,53.689999,3989200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.5,56.57,54.509998,54.939999,6521000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.73,54.75,53.119999,53.490002,3433300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.290001,54.66,53.290001,54.650002,2762700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.68,55.130001,53.599998,54.209999,2804100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.060001,54.299999,53.380001,53.990002,2576000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.299999,55.470001,54.23,55.389999,3047200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.220001,55.849998,54.959999,55.470001,2836800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.619999,56.889999,55.310001,56.130001,3114200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.330002,56.720001,55.950001,56.450001,2646100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.93,57.389999,55.48,56.98,4301500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.84,57.380001,56.41,56.43,2612500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.439999,56.869999,56.130001,56.439999,2319800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.349998,56.599998,55.389999,55.630001,1746800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.709999,56.130001,55.459999,56.110001,2045100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.880001,55.98,55.099998,55.150002,3826200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.32,55.450001,54.43,54.830002,2430100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.650002,54.080002,52.98,53.720001,4933000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.860001,53.990002,53.32,53.419998,3050900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.779999,54.18,53.619999,53.860001,2721100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.939999,54.029999,53.099998,53.599998,2843200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.529999,54.439999,53.099998,54.209999,2560300
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.669998,54.48,53.330002,54.150002,2644700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.119999,54.259998,53.580002,53.849998,2913800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.220001,54.349998,53.779999,54,3620600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.720001,53.799999,52.459999,52.939999,4276800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.59,53.639999,52.529999,53.560001,22197500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.41,55.200001,53.41,54.77,3785700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.919998,55.41,54.470001,55.200001,4455300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.450001,56.139999,54.91,55.139999,3398100
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.07,56.360001,54.700001,56.110001,3453200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.18,56.18,55.220001,55.549999,3614400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.75,55.91,55.41,55.650002,2018500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.799999,56.16,55.650002,55.889999,2415500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.119999,56.720001,56.02,56.650002,3079500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.98,57.470001,56.82,57.290001,2949600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.200001,57.34,56.880001,57.060001,1901200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.080002,57.810001,57.080002,57.669998,2348900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.5,57.580002,56.580002,56.59,3477600
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.02,57.98,56.849998,57.580002,3184400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.59,57.59,56.689999,57.450001,2162300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.540001,57.880001,57.220001,57.48,3161200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.57,57.82,56.970001,57.119999,2095900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.900002,57.27,56.470001,57.009998,2181400
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.290001,57.360001,56.02,56.169998,2798800
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.200001,56.360001,55.080002,55.419998,2937200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.66,55.990002,55.130001,55.400002,1655500
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.360001,55.68,55.009998,55.509998,2295200
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.75,56.220001,55.599998,56.07,1769500
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.349998,56.639999,56.119999,56.540001,1547900
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.73,57.66,56.619999,57.380001,2798200
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.5,58.330002,57.169998,57.98,1932900
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.91,58.310001,57.709999,58.139999,1904100
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.68,58.790001,57.32,58.75,2328500
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.970001,59.220001,58.330002,58.450001,1981600
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.240002,58.619999,57.709999,57.73,4422800
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.919998,58.25,57.779999,58.209999,2957100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.029999,58.439999,57.540001,57.860001,4801100
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.5,57.610001,56.630001,56.98,5814200
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59,63.23,59,61.279999,10882600
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61,61.139999,59.57,60.509998,4363700
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.950001,61,59.700001,60.040001,2844900
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.48,61.700001,60.349998,61.639999,3853100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.73,62.459999,61.48,62.330002,3282400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62.41,62.41,61.549999,61.599998,2310400
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.5,61.98,61.27,61.860001,2188200
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62,62.73,61.82,62.490002,2154200
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62.700001,62.950001,62.049999,62.560001,1821600
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62.639999,62.66,61.689999,61.830002,1285200
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62,62.27,61.75,62.139999,1494600
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62.25,62.310001,61.389999,61.560001,2249300
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.470001,62.349998,61.380001,62.080002,1969200
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),62.259998,62.380001,61.75,62.25,1453400
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.880001,62,61.610001,61.639999,1384900
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.25,61.689999,60.91,61.330002,1780200
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),61.490002,61.669998,60.790001,61.040001,1689100
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.790001,61.060001,59.470001,59.5,3566300
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.32,59.799999,58.93,59.599998,2556200
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.919998,59.93,59.330002,59.34,2056000
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.34,60.360001,59.23,60.34,5271500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.93,60.77,59.860001,59.889999,2257100
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.790001,60.869999,59.48,60.48,3038100
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),60.07,60.32,59.369999,59.799999,1899200
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.799999,60.169998,59.48,60.09,1502200
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.830002,60.360001,59.580002,59.630001,1588200
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.419998,59.490002,58.400002,59.09,1731100
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),58.900002,59.790001,58.549999,59.709999,2121200
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),59.84,59.880001,58.610001,58.759998,1665400
