date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.24,6.07,6.16,26200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.1,6.19,6.07,6.1,29600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.12,6.23,6.08,6.17,12300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.14,5.89,5.95,25000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.87,6.18,5.82,6.09,65600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.01,6.11,5.98,6.03,47000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.99,6.03,5.98,6,11500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.97,6,5.9,5.95,9200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,5.97,5.86,5.89,30000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.74,5.76,5.6,5.65,36300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.6,5.72,5.57,5.61,30500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.63,6,5.63,5.88,43000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.92,5.82,5.87,20000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.75,5.87,5.75,5.83,23600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.71,5.73,5.63,5.63,18800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.79,5.67,5.79,7300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.72,5.83,5.64,5.64,13700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.69,5.75,5.63,5.74,36700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.7,5.65,5.66,17700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.68,5.59,5.61,15000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.64,5.88,5.64,5.73,43700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.83,5.67,5.8,16300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.81,5.82,5.7,5.72,19600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.66,5.73,5.6,5.6,36800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.77,5.78,5.68,5.78,9300
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,5.92,5.83,5.9,20300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6,6,5.92,5.98,18900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,5.99,5.85,5.99,8300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.05,6.07,6,6.01,16000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.99,5.99,5.88,5.91,19400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.96,6.02,5.91,6.01,18500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.11,6.23,6.1,6.14,18500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.14,6.28,6.1,6.13,7200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.08,6.14,6.01,6.06,7800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.09,6.09,6.01,6.01,1900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.13,6.27,6.07,6.23,20600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.14,6.25,6.01,6.15,3400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.15,6.25,6.11,6.12,10900
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.14,6.44,6.14,6.4,30600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.46,6.46,6.26,6.26,33300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.4,6.43,6.25,6.3,16100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.22,6.41,6.22,6.37,14300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.43,6.47,6.37,6.42,12800
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.42,6.53,6.37,6.37,56700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.98,6.08,5.89,6.05,113900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.05,6.24,5.99,6.2,43400
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.25,6.25,6.03,6.05,27900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.85,5.71,5.71,52800
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.71,5.79,5.66,5.79,13600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.69,5.78,5.69,5.72,15900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.71,5.71,5.56,5.58,32800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.64,5.65,5.56,5.6,9500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.71,5.88,5.71,5.87,25100
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.83,5.95,5.7,5.74,23500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.8,5.92,5.79,5.87,7400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,5.91,5.8,5.8,21400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.75,5.87,5.67,5.73,12400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.74,5.78,5.72,5.73,24100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.67,5.79,5.59,5.59,23000
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.68,5.71,5.57,5.6,7500
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.65,5.67,5.59,5.61,13900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.59,5.64,5.59,5.61,15700
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.59,5.65,5.56,5.56,8200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.54,5.67,5.53,5.6,11700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.46,5.47,5.3,5.33,31000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.31,5.39,5.31,5.38,10100
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.4,5.53,5.4,5.42,8700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.36,5.37,5.27,5.3,26000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.27,5.3,5.2,5.27,25800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.17,5.27,5.16,5.2,13900
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.18,5.2,5.1,5.14,16200
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.21,5.36,5.12,5.12,11000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.12,5.12,4.9,4.9,108000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.95,5.27,4.94,5.08,34500
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.12,5.12,5.02,5.1,6500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),5.06,5.22,5.04,5.05,26600
