date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.875,0.92,0.851,0.901,899600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,0.92,0.821,0.833,1006100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.816,0.845,0.784,0.825,1855800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.82,0.86,0.78,0.822,977000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.84,0.932,0.803,0.92,1095000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.911,0.925,0.85,0.859,954700
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.872,0.876,0.81,0.822,1383500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.827,0.836,0.734,0.738,1530700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.76,0.791,0.716,0.744,968700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,0.78,0.655,0.725,1794900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.695,0.766,0.69,0.755,764900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,0.771,0.7,0.724,981100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.735,0.786,0.69,0.766,1321200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.78,0.848,0.743,0.832,977400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.84,0.861,0.822,0.85,522800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.86,0.87,0.812,0.825,402800
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.85,0.89,0.791,0.876,638600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.89,0.935,0.85,0.906,816000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,0.921,0.87,0.905,766400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.903,0.852,0.871,538800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.868,0.917,0.751,0.751,2099600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.807,0.92,0.77,0.9,1662400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.91,1.079,0.86,1.04,2850200
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.09,1.445,1.08,1.35,8901400
