date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.3,5.45,5.25,5.38,86200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.39,5.41,5.18,5.2,60900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.23,4.9,5.02,54900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5,5.08,4.85,4.94,120900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.96,5.18,4.88,5.13,55700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,5.44,5.12,5.28,113500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.31,5.36,5.13,5.19,46600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.13,5.2,4.99,5.01,35700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.09,5.12,4.95,5.02,23700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.06,4.84,4.95,39200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.97,4.99,4.89,4.95,23900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.96,4.96,4.76,4.82,51700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.83,4.88,4.73,4.85,30300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.88,5.23,4.88,5.21,51100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.24,5.35,5.11,5.14,73800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.17,5.2,5.02,5.15,45700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.19,5.3,5.15,5.25,42800
