date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,0.979,0.917,0.979,4500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,1.1,0.91,1.1,48600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.33,1.02,1.27,226600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.32,1.232,1.27,39500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.37,1.22,1.32,29900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.44,1.3,1.397,38800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.44,1.55,1.28,1.46,82000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.51,1.35,1.48,19200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.5,1.4,1.4,21200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.49,1.4,1.42,6300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.415,1.528,1.415,1.46,7100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.673,1.43,1.46,131200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.59,1.43,1.43,25100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.49,1.293,1.3,48400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.48,1.35,1.4,79800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.42,1.43,1.17,1.18,60400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.19,1.36,1.17,1.29,40400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.345,1.36,1.28,1.36,34900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,1.25,1.28,59200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.23,1.28,1.2,1.21,36700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.21,1.24,1.17,1.19,26500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.2,1.19,1.2,20200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.26,1.2,1.2,52700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.29,1.2,1.21,17300
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.2,1.3,1.18,1.3,21900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.37,1.31,1.32,14200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.34,1.49,1.33,1.4,93900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.4,1.45,1.39,1.42,15600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.467,1.47,1.423,1.437,32800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.43,1.31,1.38,15500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.4,1.48,1.36,1.425,27200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.4,1.42,1.34,1.38,50900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.404,1.49,1.38,1.39,33300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.13,1.21,1.06,1.19,1079500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.17,1.23,1.03,1.14,91500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.38,1.1,1.34,80400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.4,1.22,1.22,48200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.305,1.31,1.22,1.25,26600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.25,1.15,1.15,15800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.193,1.05,1.06,121300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.12,1.13,1.08,1.09,34600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.12,1.012,1.085,35200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.09,1.13,1.05,1.1,37400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.11,1.11,1.01,1.05,38000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.06,1.09,1.03,1.07,8900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.1,1.05,1.08,8000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.15,1.08,1.08,8400
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.1,1.1,1.07,1.085,7400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.09,1.15,1.08,1.145,22600
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.2,1.08,1.14,19600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.14,1.45,1.14,1.25,199100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.34,1.25,1.3,43500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,1.365,1.25,1.28,18500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.29,1.31,1.23,1.23,64400
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.25,1.3,1.24,1.3,10600
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.32,1.41,1.3,1.35,31000
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.45,1.32,1.35,132400
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.345,1.345,1.25,1.34,57800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.35,1.28,1.325,24700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.36,1.36,1.245,1.26,37900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.3,1.344,1.13,1.25,88600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.21,1.25,1.12,1.12,52100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.2,1.2,1.05,1.075,141800
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.11,1.15,1.01,1.125,153300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.9,0.95,0.75,0.8,855500
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.8,0.85,0.74,0.81,323300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.831,0.831,0.75,0.77,189700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.78,0.79,0.7,0.745,153700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.74,0.759,0.675,0.72,102800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.749,0.75,0.7,0.709,78700
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.656,0.73,0.63,0.694,83300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.718,0.745,0.67,0.68,57000
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.707,0.757,0.7,0.72,53400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.735,0.74,0.69,0.695,88500
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.778,0.7,0.7,49200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.748,0.7,0.73,175400
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.8,0.72,0.74,69200
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.77,0.77,0.72,0.721,27400
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.749,0.749,0.72,0.734,62500
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.72,0.75,0.701,0.71,44300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.715,0.738,0.695,0.7,79100
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.702,0.74,0.69,0.717,112600
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.73,0.738,0.705,0.719,315600
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.747,0.747,0.71,0.746,95600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.756,0.756,0.72,0.721,59700
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.75,0.758,0.718,0.74,96200
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.76,0.94,0.75,0.79,131200
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.78,0.84,0.78,0.791,49000
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.81,0.81,0.78,0.795,14200
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.795,0.86,0.781,0.819,64000
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.849,0.849,0.781,0.791,68700
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.81,0.81,0.721,0.778,42400
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.775,0.775,0.74,0.749,159400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.71,0.71,0.399,0.4,1451100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.375,0.44,0.352,0.44,841200
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.42,0.42,0.334,0.34,955700
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.355,0.37,0.303,0.34,515400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.341,0.36,0.323,0.34,263700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.35,0.35,0.32,0.33,359400
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.336,0.34,0.311,0.315,381400
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.32,0.352,0.31,0.34,350300
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.34,0.413,0.328,0.406,688500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.368,0.396,0.361,0.377,180500
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.38,0.385,0.36,0.379,111100
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.385,0.405,0.379,0.404,115500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.4,0.476,0.38,0.434,412500
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.444,0.45,0.4,0.409,122900
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.41,0.43,0.392,0.41,102800
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.415,0.415,0.374,0.381,741700
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.38,0.42,0.365,0.4,297400
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.817,1.16,0.6,0.869,337112000
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.02,1.13,0.88,1.02,39816600
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.848,0.93,0.66,0.73,8086100
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.617,0.64,0.5,0.535,4756400
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.525,0.68,0.48,0.577,3425400
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.566,0.61,0.466,0.505,1813500
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.516,0.539,0.493,0.518,611000
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.518,0.531,0.43,0.461,977200
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.447,0.45,0.418,0.435,492000
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.422,0.483,0.41,0.462,630600
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.47,0.499,0.432,0.45,354000
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.468,0.48,0.425,0.465,316800
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.462,0.47,0.432,0.463,273700
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.458,0.47,0.446,0.463,316900
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.449,0.462,0.431,0.438,293600
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.433,0.433,0.4,0.402,661100
Wed Jul 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.402,0.409,0.34,0.37,719600
Fri Jul 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.363,0.4,0.36,0.37,248500
Mon Jul 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.368,0.37,0.33,0.34,521700
Tue Jul 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.349,0.349,0.31,0.311,533000
Wed Jul 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.31,0.368,0.31,0.35,535300
Thu Jul 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.35,0.353,0.327,0.336,324500
Fri Jul 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.33,0.345,0.322,0.332,164200
Mon Jul 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.325,0.342,0.32,0.34,157100
Tue Jul 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.348,0.484,0.34,0.4,2932800
Wed Jul 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.41,0.557,0.38,0.428,4079000
Thu Jul 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.41,0.419,0.367,0.394,878800
Fri Jul 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.39,0.392,0.367,0.388,160200
Mon Jul 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.39,0.41,0.39,0.39,205400
Tue Jul 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.398,0.398,0.34,0.36,280600
Wed Jul 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),0.3668,0.394,0.359,0.36,46317
