date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.5,18.59,18.280001,18.360001,32300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.299999,18.299999,17.860001,17.9,11400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.77,18.049999,17.25,17.299999,14900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.299999,17.610001,17.299999,17.299999,15300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.549999,18.18,17.120001,17.719999,22300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.719999,18.209999,17.5,17.5,17900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.4,17.629999,17.200001,17.41,20000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.540001,17.6,17.02,17.27,13900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.26,17.639999,17.26,17.379999,11800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.48,18.200001,17.290001,17.85,27400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.98,18.07,17.709999,17.75,19000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.059999,17.360001,17.549999,13100
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.690001,17.690001,17.35,17.5,18000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.559999,18.26,17.440001,18.02,27100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.02,18.02,17.4,17.4,15800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.639999,17.969999,17.290001,17.9,11500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.74,18.049999,17.51,18.049999,18400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.24,18.24,17.870001,18.01,8300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.99,19.07,17.879999,18.73,29600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.73,18.73,18.24,18.299999,11600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.209999,18.52,18,18.01,10700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18,18.370001,17.99,18.370001,12400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.27,18.27,17.66,18.1,15300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.25,18.25,17.690001,17.77,11700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.959999,18.68,17.959999,18.469999,21700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.25,18.59,17.5,17.51,13100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.42,18.120001,17.42,17.790001,7200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.809999,18.02,17.49,17.790001,13400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.790001,18.24,17.57,17.969999,18300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.389999,17.76,16.709999,16.709999,20300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.85,17.52,16.719999,17.450001,15500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.67,17.76,17.040001,17.139999,7100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.290001,17.290001,16.43,16.43,9100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.860001,17.290001,16.459999,16.99,47200
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.879999,17.379999,16.879999,17.040001,10400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.9,18.139999,16.82,18.139999,48500
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.540001,18.540001,17.799999,18.4,19400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.389999,19.33,18.389999,18.91,28200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.860001,18.860001,18.450001,18.65,6500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.73,18.73,18.4,18.43,7700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.59,18.59,18,18.02,12300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.24,17.889999,17.200001,17.309999,8400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.27,17.43,15.79,15.98,54600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.049999,16.299999,15.83,15.92,21300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.48,16.48,16,16.450001,17000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.360001,16.75,16.23,16.59,9700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.6,16.629999,16.23,16.610001,8100
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.459999,16.83,15.52,15.6,26200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.56,15.77,15.44,15.44,7400
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.41,16.219999,15.4,15.84,13100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.71,15.78,15.35,15.51,13100
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.79,16.139999,15.5,16,16300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.89,16.389999,15.7,15.7,21800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.55,15.83,15.35,15.58,39100
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.69,15.81,15.33,15.65,17400
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.39,15.72,15.39,15.64,15600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.52,15.59,15.35,15.49,10700
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.5,15.71,15.5,15.63,23300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.81,16.549999,15.63,15.64,32700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.63,16.459999,15.63,16.309999,25400
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,18.4,16.309999,18.299999,86100
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.389999,18.77,17.76,17.82,41100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.92,18.389999,17.5,17.790001,27000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.040001,18.809999,17.860001,18.48,26900
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.870001,19.200001,18.059999,18.450001,21100
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.49,18.9,18.35,18.620001,16600
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.77,19.08,18.1,18.17,15200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),18.27,18.27,17.27,17.42,19700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.559999,18.01,17.27,17.67,42900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17,17.110001,16.02,16.799999,75300
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.82,17.5,16.709999,16.809999,49300
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.809999,16.99,15.53,15.76,74100
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.76,15.99,15.1,15.89,81800
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.049999,16.299999,15.55,15.8,17500
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.15,16.469999,16,16.41,26300
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.5,16.5,16.01,16.48,21700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.59,16.860001,16.23,16.23,35500
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.32,16.43,16.09,16.309999,14800
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.709999,17.280001,16.709999,16.889999,32100
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.889999,16.889999,16.280001,16.690001,13300
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.530001,17.200001,16.530001,17.15,26500
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.940001,17.25,16.700001,17.040001,35200
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.879999,17.01,16.549999,16.549999,21200
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.559999,17.360001,16.559999,16.99,31100
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.280001,17.709999,16.889999,16.889999,27000
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.139999,18.1,17.030001,17.809999,28400
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.76,17.85,17.24,17.6,26000
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.059999,17.58,17.059999,17.5,10300
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.5,18.120001,17.49,17.709999,21400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),17.540001,18.08,17.540001,17.690001,39800
