date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.75,23.780001,23.75,23.780001,1300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.75,23.77,23.725,23.725,2300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.736,23.736,23.549999,23.620001,15000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.733999,23.75,23.733999,23.74,1000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.75,23.75,23.700001,23.700001,2700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.65,23.75,23.65,23.700001,2200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.700001,23.76,23.700001,23.76,10700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.799999,23.799999,23.719999,23.75,8400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.809999,23.809999,23.77,23.809999,17700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.82,23.82,23.76,23.76,1200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.809999,23.809999,23.65,23.65,14800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.75,23.82,23.65,23.76,14000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.68,23.82,23.68,23.809999,1700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.639999,23.73,23.639999,23.73,900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.65,23.65,23.65,23.65,300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.82,23.82,23.735001,23.735001,500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.735001,23.735001,23.735001,23.735001,1000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.728001,23.82,23.728001,23.82,1800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.761999,23.780001,23.761999,23.780001,900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.85,23.85,23.799999,23.85,5700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.886,23.886,23.886,23.886,600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.9,23.955,23.870001,23.955,2700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.975,24,23.834,24,5300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.955,24,23.9,23.938999,4900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24,23.924999,24,1500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.870001,24.17,23.860001,24.165001,5700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.959999,24.045,23.690001,23.695,3900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.84,24.035,23.799999,24,2200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.98,24,23.799999,23.99,4900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.98,23.99,23.9,23.99,1000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.9,24.063999,23.9,23.99,2800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.1,24.1,23.950001,24.08,5100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.902,24.07,23.902,23.906,2100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.91,24.077,23.9,23.909,2000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.969999,23.969999,23.940001,23.940001,500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.98,24.040001,23.940001,24.027,1600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.049999,24.049999,24,24,2200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.91,24.049999,23.799999,23.950001,5400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24.049,23.82,23.9,1800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.84,24.049999,23.84,23.99,6800
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.9,24.040001,23.9,23.91,1600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.870001,24.1,23.870001,24.1,6100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.950001,24.004999,23.950001,24,1400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.919001,24.15,23.919001,24.15,3900
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.200001,24.15,24.15,3400
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.15,24.15,24.15,500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.18,24.200001,24.15,24.15,1700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.290001,24.290001,24.15,24.15,700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.299999,24.15,24.25,4700
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.959999,24.24,23.959999,24.24,3600
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.17,24.17,24.17,24.17,300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.190001,24.190001,23.972,24,1100
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.01,24.25,24.01,24.194,1400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.202999,24.4,24.202999,24.4,1500
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.030001,24.125,24,24,4000
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.15,24.15,24.15,400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.246,24.246,24.246,24.246,1900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.113001,24.113001,23.9,23.9,4800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.01,24.01,23.9,23.940001,13700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.15,23.950001,23.950001,900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.969999,23.969999,23.950001,23.959999,1200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.030001,24.110001,24,24.1,6600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.24,24.24,24.1,24.129999,4000
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.120001,24.120001,24.120001,24.120001,1400
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.18,24.18,24.101,24.101,2400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.165001,24.190001,24.1,24.190001,3000
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.08,24.200001,24.08,24.132999,1700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.139999,24.173,24.139999,24.173,1600
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.200001,24.200001,24.200001,24.200001,900
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.049999,24.079,24.049999,24.079,500
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.079,24.079,24.079,24.079,0
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.02,24.16,24.02,24.16,700
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.08,24.139999,24.01,24.110001,3700
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.1,24.1,24,24.07,1800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.01,24.02,24.01,24.01,500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.1,24.1,24.01,24.02,2800
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),24.049999,24.049999,24.049999,24.049999,500
