date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.139999,19.246,18.9,19.115,14600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.01,19.139999,18.950001,19.139999,6900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.99,19.038,18.82,18.870001,23000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.898001,19.049999,18.898001,18.945,8100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.99,19.290001,18.975,19.250999,13700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.200001,19.469999,19.072001,19.370001,8300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.440001,19.48,19.107,19.374001,6700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.51,19.51,19.353001,19.389999,6200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.389999,19.66,19.389999,19.51,10600
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.75,19.75,19.43,19.51,8200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.42,19.700001,19.209999,19.700001,17500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.6,19.620001,19.219999,19.59,16500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.65,19.68,19.51,19.6,14800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.6,20.1,19.559999,19.959999,11600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.1,19.870001,20.1,10100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.1,20.370001,19.91,20.190001,17600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.18,20.27,20,20.27,4500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.145,20.290001,20.145,20.290001,2900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.35,20.35,20.040001,20.054001,8000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.25,19.93,19.93,16100
