date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.110001,22.110001,21.950001,21.950001,10600
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.92,22.1,21.882999,22,51600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.25,22.25,21.969999,22,17700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.105,22.105,21.985001,22.030001,4500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.08,22.35,22.08,22.35,1700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.469999,22.549999,21.823999,22.120001,11200
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.040001,22.16,22.030001,22.16,5600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.129999,22.26,22.040001,22.15,5200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.125,22.48,22.125,22.202999,3200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.25,22.25,22.1,22.200001,3500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.34,22.34,22.1,22.129999,1800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.174999,22.174999,22,22.049999,6600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.125,22.23,22.056999,22.23,3200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.4,22.27,22.27,5800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.24,22.440001,22.24,22.440001,4700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.389999,22.57,22.299999,22.41,16100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.4,22.6,22.4,22.6,5200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.475,22.700001,22.475,22.65,9900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.59,22.643,22.459999,22.51,9900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.610001,22.610001,22.51,22.6,5000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.645,22.77,22.645,22.66,2200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.73,22.74,22.68,22.68,1300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.51,22.51,21.93,22.01,42900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.35,22.530001,22.030001,22.24,40000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.32,22.32,22.07,22.1,17400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.26,22.49,22.110001,22.200001,92600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.25,22.389999,22.247,22.247,14200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.27,22.764999,22.1,22.68,32000
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.209999,22.639999,22.209999,22.58,8100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.309999,22.509001,22.25,22.35,12800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.299999,22.459999,22.299999,22.389999,7300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.299999,22.617001,22.299999,22.440001,4600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.450001,22.450001,22.312,22.32,1700
