date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),140.970001,143.940002,140.240005,141.789993,443300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.330002,139.330002,133.289993,133.570007,604500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.160004,135.080002,130.660004,134.149994,494400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.139999,137.350006,134.029999,135.899994,665200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.259995,137.759995,135.259995,137.259995,277700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.089996,137.699997,134.509995,135.149994,300000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.220001,135.259995,133.080002,134.759995,254700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.360001,134.990005,133.240005,134.179993,291500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.190002,135.190002,130.880005,131.350006,396800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130,133.649994,130,133.600006,429200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.570007,131.949997,130.449997,131.470001,457000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.619995,132.889999,129.419998,130.820007,386600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.5,131.320007,129.729996,130.210007,697400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),130.860001,133.389999,128.940002,130.759995,1555500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.740005,132.979996,130.130005,130.910004,761800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.330002,132.119995,129.520004,130.389999,384600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),131.139999,132.949997,130.119995,132.330002,598500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.910004,135.5,133.270004,133.669998,525200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.820007,135.020004,132.559998,135,472800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.399994,136.229996,134.630005,134.660004,420800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.710007,136.320007,132.429993,132.899994,516000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.119995,136.699997,133.470001,136.429993,577300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.300003,135.729996,133.380005,135.630005,531600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.259995,135.339996,133.229996,134.360001,655100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),128,136.619995,128,135.190002,1338600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.630005,136.630005,131.470001,132.350006,670200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.100006,133.610001,130,133.309998,509500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),132.860001,135.490005,132.339996,134.75,620900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.600006,138.039993,134.259995,137.460007,541300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),133.899994,135.190002,131.690002,132.979996,463800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.669998,135.75,133.630005,134.889999,537800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.429993,138.660004,135.009995,137.729996,553600
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.960007,137.660004,135.570007,136.300003,434100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.300003,136.419998,134.880005,136.110001,419500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.039993,135.910004,134.279999,135.190002,295400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.220001,137.639999,135.089996,135.369995,327800
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.550003,136.509995,134.619995,135.199997,369800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.059998,136.460007,133.919998,134.320007,444600
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),135.679993,136.720001,134.630005,135.779999,458600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),134.710007,136.699997,134.419998,136.619995,430900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.440002,138.419998,136.199997,137.350006,592900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),137.360001,137.619995,135.509995,136.419998,376200
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),136.779999,139.130005,136.029999,138.279999,450100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),138.020004,141.309998,138.020004,139.259995,462600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.899994,140.110001,138.990005,139.880005,476600
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.589996,142.570007,139.589996,142.199997,765300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),143.039993,144.089996,140.119995,140.300003,375600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),139.910004,142.470001,139.910004,141.160004,464800
