date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.55,3.55,3.44,3.45,2500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.45,3.51,3.39,3.51,8700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.58,3.49,3.49,5900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.61,3.5,3.5,1800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.58,3.48,3.49,5000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.52,3.6,3.49,3.6,10600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.55,3.55,3.52,3.52,7600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.51,3.6,3.5,3.52,2100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.52,3.59,3.49,3.5,3800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.53,3.59,3.5,3.5,1300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.5,3.5,3.42,3.48,7600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.39,3.45,3.39,3.45,7400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.48,3.48,3.42,3.42,5500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.42,3.42,3.38,3.38,5100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.4,3.38,3.38,4600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.39,3.45,3.39,3.4,2300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,3.46,3.34,3.39,10200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.46,3.38,3.38,4100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.32,3.39,3.32,3.35,17800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.32,3.25,3.25,4800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.25,3.33,3.25,3.25,14400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.35,3.22,3.29,5800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.26,3.24,3.24,1900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.26,3.18,3.18,10100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.36,3.22,3.28,6400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.31,3.24,3.24,800
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.26,3.24,3.24,1000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.3,3.22,3.22,2300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.24,3.39,3.24,3.3,16400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.3,3.21,3.21,1500
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.27,3.39,3.27,3.35,13500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.47,3.31,3.42,8700
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.39,3.55,3.39,3.46,9300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,3.46,3.34,3.4,2500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.26,3.27,3.18,3.2,35100
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.24,3.1,3.13,34400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.13,3.14,3.01,3.09,13000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.33,3.1,3.22,11500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.22,3.26,3.21,3.21,2500
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.24,3.15,3.15,2200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.21,3.08,3.08,25200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.15,3.03,3.05,9300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.07,3.02,3.03,11700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.14,3.15,3.14,3.15,2100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.13,3.31,3.1,3.15,15000
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.32,3.16,3.18,5500
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.19,3.1,3.11,11000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.08,3.1,3.06,3.06,8900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.25,3.09,3.1,17200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.17,3.08,3.12,3200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.2,3.2,3.04,3.04,10600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.11,3.29,3.11,3.29,9200
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.31,3.18,3.3,4400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.42,3.15,3.21,7000
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.28,3.15,3.21,11700
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.18,3.02,3.08,16500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.05,3.13,3.03,3.13,3200
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.14,3.05,3.06,3500
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.23,3.01,3.02,4700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.05,3,3.01,2600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.11,3.01,3.09,12600
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.04,3.05,2.9,2.92,9900
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.9,2.98,2.9,2.97,7100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.05,3.12,2.92,2.92,5800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.98,2.98,2.89,2.9,7000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.89,2.94,2.85,2.85,1200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.85,3.05,2.85,2.85,13300
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.85,2.9,2.82,2.82,2300
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.86,2.86,2.72,2.72,21700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.75,2.77,2.63,2.63,9100
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.63,2.88,2.62,2.88,1400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.88,2.88,2.64,2.69,4100
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.65,2.72,2.56,2.56,5600
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.73,2.73,2.6,2.6,800
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.55,2.75,2.55,2.75,10200
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.7,2.6,2.7,10500
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.65,2.72,2.63,2.63,1000
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.61,2.68,2.6,2.6,800
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.65,2.65,2.57,2.57,5200
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.66,2.6,2.64,4400
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.64,2.64,2.63,2.63,1600
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.64,2.82,2.64,2.7,2100
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.82,2.88,2.71,2.71,4000
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.69,2.6,2.68,700
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.66,2.71,2.66,2.71,600
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.68,2.79,2.67,2.72,600
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.7,2.81,2.65,2.69,16800
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.75,2.87,2.71,2.71,1900
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.87,2.87,2.8,2.8,2400
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.8,2.8,2.8,2.8,0
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.85,2.92,2.83,2.92,10600
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.91,2.93,2.62,2.65,6100
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.66,3,2.56,2.61,19200
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.66,2.7,2.6,2.7,1300
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.99,2.6,2.62,20000
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.93,2.93,2.66,2.66,7900
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.83,2.83,2.66,2.75,6700
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.69,2.84,2.68,2.68,5700
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.68,2.72,2.65,2.7,5100
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.68,2.8,2.65,2.73,5200
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.82,2.85,2.64,2.69,5400
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.76,2.67,2.68,6200
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.62,2.7,2.62,2.63,1700
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.68,2.61,2.64,3600
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.67,2.78,2.65,2.65,4500
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.71,2.74,2.56,2.65,4300
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.65,2.7,2.48,2.62,16300
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.6,2.52,2.58,19900
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.6,2.62,2.55,2.6,1300
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.55,2.58,2.55,2.57,4600
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.52,2.55,2.49,2.49,22200
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.41,2.41,2.27,2.35,7700
