date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.57,66.190002,64.410004,64.970001,92300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.699997,64.800003,62.91,62.959999,113000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.189999,63.939999,62.98,63.16,113200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.560001,63.799999,62.560001,63.23,64300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.369999,64.080002,62.959999,63.669998,80700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.779999,63.369999,62.48,63.029999,72100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.759998,63.689999,62.360001,63.669998,71100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.459999,63.459999,62.349998,63.209999,148600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.900002,65.629997,61.73,62.75,61400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.849998,62.880001,61.509998,61.66,93400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),60.57,62.09,60.560001,61.32,110000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),61.540001,63.099998,60.880001,61.93,65400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),62.220001,63.700001,61.59,63.580002,99600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.379997,65.519997,64.239998,65.440002,126500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),66,66.349998,63.990002,64.169998,141800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.169998,64.839996,62.099998,63.32,114300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.25,69.190002,65.25,69.150002,183700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),69.980003,72.610001,69.150002,72.279999,222300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.050003,73.220001,71.120003,72.959999,149000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),72.849998,72.849998,71.010002,71.800003,131800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),70.540001,70.540001,66.870003,66.959999,178400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),67.510002,68.110001,63.73,65.860001,141400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.419998,66.529999,64.419998,65.389999,108400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.650002,65.449997,63.27,64.860001,158800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.809998,65.620003,63.380001,64.040001,73400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.18,64.18,62.189999,63.669998,117100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.439999,65.160004,63.240002,65.050003,103300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.370003,66.440002,64.309998,66.059998,99600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.879997,68.269997,65.879997,67.110001,97000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.860001,65.760002,62.580002,63.560001,135200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.510002,64.510002,62.259998,64.260002,157300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.879997,67.059998,64.309998,66.529999,139800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),65.910004,66.690002,65.300003,65.620003,79500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),64.669998,65.580002,63.75,64.080002,78500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.779999,64.230003,62.75,63.830002,89300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.470001,64.330002,62.490002,63.27,109200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.209999,64.330002,62.310001,63.619999,113900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),63.349998,64.510002,62.549999,62.599998,118500
