date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.75,48.220001,47.16,47.279999,1503100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.18,47.299999,46.509998,46.630001,2549800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.650002,46.759998,46.25,46.549999,1515500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.380001,47.290001,46.290001,47.119999,2180400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.099998,47.75,46.830002,47.639999,1843100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.209999,47.540001,46.709999,46.860001,1341400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.869999,47.049999,46.669998,47.02,1054700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.950001,47.220001,46.41,47.060001,1354300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.490002,47.849998,46.91,47.040001,1088000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.75,47.459999,46.400002,47.419998,1651800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47,47.450001,46.849998,47.049999,1776900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.139999,47.369999,46.759998,47.279999,1145400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.349998,47.650002,46.889999,47.380001,1168700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.57,48.41,47.439999,48.290001,1268900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.459999,48.779999,47.279999,47.919998,1939900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.369999,48.470001,47.330002,47.459999,1270900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.860001,47.959999,47.16,47.509998,1476200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.759998,47.830002,47.48,47.650002,1123000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.529999,47.709999,46.889999,47.689999,2067900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.470001,47.880001,47.080002,47.529999,1678200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.549999,47.689999,46.57,46.669998,1710100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.919998,47.759998,46.540001,47.740002,1566900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.459999,47.700001,46.759998,47.299999,1248600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.580002,46.619999,45.990002,46.330002,1425700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.380001,47.139999,46.029999,47.119999,1464100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.290001,47.709999,47.02,47.57,2211500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.290001,47.619999,47.130001,47.540001,1198900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.650002,48.119999,47.43,47.939999,965500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.049999,49.23,47.970001,49.169998,1414000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.389999,48.41,47.66,48.09,3373000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.240002,48.98,48.169998,48.849998,2046700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.060001,49.34,48.849998,49.169998,2381100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),48.860001,50.34,48.639999,50.040001,4192500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.43,49.98,49.279999,49.860001,2023900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),49.939999,50.43,49.57,50.32,2292300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.650002,52.389999,50.900002,51.860001,2038600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.150002,52.459999,51.540001,52.18,2032800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.970001,52.59,51.779999,52.439999,1803400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.630001,53.16,52.549999,52.93,1833200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.849998,53,52.330002,52.77,1556400
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.009998,53.189999,52.18,52.290001,3374800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.16,52.389999,51.639999,51.98,1328700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.029999,52.209999,51.68,52.09,1530700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.860001,52.52,51.790001,51.82,1570500
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.990002,52.279999,51.450001,51.509998,1199900
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.810001,52.02,51.299999,51.48,1647000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.560001,51.959999,51.400002,51.419998,1420700
