date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.88,3.99,3.81,3.83,247300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.79,3.8,3.4,3.46,294400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,3.5,3.4,3.45,88000
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.44,3.47,3.28,3.28,217200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.31,3.79,3.23,3.55,409300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.47,3.51,3.36,3.4,371500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.48,3.37,3.44,160600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.46,3.46,3.31,3.35,173700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.36,3.41,3.17,3.17,168200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.17,3.17,3.04,3.07,214300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.07,3,3.07,107700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.15,2.94,3.03,194400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.07,2.94,2.95,152900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.05,2.76,2.86,192700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.94,2.86,2.93,112300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,3.04,2.93,2.99,236500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.07,3.07,2.86,2.91,215400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,2.93,2.85,2.88,84900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.89,2.91,2.79,2.84,148300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.82,2.82,2.76,2.76,195200
