date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.52,45.25,42.84,43.759998,661800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.549999,46.076,43.259998,45.549999,673900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.650002,49.32,46.5,46.849998,1331500
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.450001,49.540001,47.049999,47.799999,1495900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.080002,47.540001,45.049999,47.439999,1140100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.5,47.761002,44.700001,45.950001,1183900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.25,46.34,43.5,44.060001,1131200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.27,42.5,39.400002,41.220001,2250800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.380001,43.299999,41.689999,42.529999,982100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.029999,43.419998,40.869999,40.98,982700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.619999,42.810001,40.09,42.060001,1450000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.889999,42,40.279999,41.330002,1173600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.650002,42.169998,41.02,41.919998,992300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.669998,42.465,40.896999,40.970001,777800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.349998,41.029999,39,40.849998,984400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),42.040001,42.705002,41.77,42.470001,804400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),41.810001,42.049999,39.75,41.060001,1660100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),40.25,40.25,38.07,39.330002,2052400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),39.470001,39.599998,38.080002,38.709999,1155900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.5,39.009998,37.75,38.880001,1274100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.220001,38.395,37.029999,37.439999,1587000
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),38.580002,40.029999,35.860001,38.130001,2657400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),37.099998,37.439999,35.040001,35.560001,1754400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.169998,35.830002,34.43,34.93,1799000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.93,36.564999,34.895,35.880001,1507200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.5,35.98,35.125,35.779999,1077100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.720001,36.150002,35.5,36.029999,776800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.099998,36.34,34.77,35,938700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.150002,36.361,35.150002,35.709999,939500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.279999,35.540001,34.82,35.48,577200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),36.200001,36.310001,35.59,36.16,631800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35,35.689999,34.5,35.400002,1119500
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),35.639999,36.259998,34.779999,34.990002,772800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.950001,34.970001,33.029999,33.860001,1159800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),34.139999,35.619999,34.139999,35.330002,923000
