date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),228.839996,230.899994,223.809998,230.75,552500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),231.089996,235.880005,230.059998,232.729996,598300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.309998,238.289993,232.399994,232.679993,535300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233,235.809998,230.949997,234.550003,477800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),235.309998,237.830002,230.020004,237.559998,735000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.970001,238.850006,230.210007,232.850006,423300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),232.059998,234.610001,231.059998,234.169998,334200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),235.300003,236.550003,232.039993,232.910004,396400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),233.139999,235.600006,229.369995,230.929993,491000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),231,235.160004,230.929993,233.059998,516500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),230,236.509995,228.630005,234.080002,452000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),232.789993,236.770004,231.080002,236.639999,379200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),237.860001,241.089996,236.559998,239.600006,475100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),239.5,242.509995,237.300003,242.169998,535500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),243.910004,245.339996,240.940002,241.139999,676400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),242.729996,244.759995,240.369995,242.070007,548500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),242.070007,245,239.770004,240.679993,687200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.839996,244.820007,240.699997,243.009995,432400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.520004,243.289993,239.850006,240.279999,769500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),241.080002,245.550003,240.600006,244.309998,719000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),242.559998,242.820007,237.279999,239.190002,727700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),238.759995,242.050003,236.960007,240.460007,1069700
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),250,259.269989,241.669998,251.210007,1703400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),251.600006,251.600006,245.559998,248.229996,821300
