date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.51,5.68,5.5,5.5,10400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.54,5.55,5.451,5.451,1700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.57,5.57,5.5,5.5,900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.49,5.37,5.49,700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.42,5.45,5.37,5.37,1700
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.4,5.4,5.28,5.4,1100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.341,5.341,5.341,5.341,300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.4,5.4,5.28,5.28,3900
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.45,5.45,5.45,5.45,1500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.28,5.28,5.28,600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.28,5.28,5.28,400
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.36,5.28,5.28,800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.39,5.5,5.28,5.3,3600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.352,5.352,5.01,5.01,3300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.371,5.51,5.2,5.2,4000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.54,5.15,5.17,2300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.51,5.51,5.49,5.5,6400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.51,6.829,5.25,5.25,24000
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.36,5.36,5.224,5.26,6500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.303,5.234,5.26,4700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.343,5.343,5.26,5.34,2200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.26,5.32,5.26,5.32,2400
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.32,5.04,5.06,19600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.23,5.299,5.22,5.299,1900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,5.23,5.02,5.02,3800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.28,5.02,5.28,500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.15,5.15,5.125,5.14,1800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.15,5.15,5.1,5.1,800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.1,5.1,5.1,5.1,0
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.37,5.37,4.93,4.96,4300
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.075,5.05,5.055,600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.06,5.19,5.06,5.19,1500
