date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.977,0.977,0.925,0.952,22400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.98,1.05,0.924,0.93,43400
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,1.01,0.92,0.98,11400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.917,1.02,0.917,1.01,13100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.05,1.05,0.95,0.95,31400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1,1,0.95,0.976,21600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.96,1.01,0.935,0.94,16300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.966,0.98,0.93,0.955,14600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.966,1,0.9,0.902,22700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.97,0.97,0.903,0.941,15600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.949,0.949,0.925,0.925,800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.923,0.963,0.9,0.9,10800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.93,0.89,0.915,46400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.915,0.95,0.915,0.94,5900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.94,0.98,0.92,0.92,28200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.904,0.98,0.88,0.88,83300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.95,0.885,0.885,14800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.93,0.88,0.905,27600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.93,0.942,0.883,0.9,11200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.92,0.92,0.881,0.899,10100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.938,0.938,0.89,0.93,28700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.92,0.933,0.895,0.9,10500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.92,0.927,0.9,0.9,7900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.9,0.9,0.89,0.895,4100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.903,0.83,0.859,63900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.87,0.87,0.75,0.781,93300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.782,0.829,0.77,0.81,20700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.763,0.8,0.75,0.75,41900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.73,0.791,0.72,0.758,15100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.733,0.79,0.73,0.79,3600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.806,0.83,0.75,0.83,33700
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.83,0.83,0.8,0.81,3900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.81,0.815,0.77,0.8,12300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.77,0.83,0.76,0.8,16100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.78,0.81,0.745,0.805,32300
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.75,0.751,0.73,0.74,41100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.74,0.757,0.72,0.73,20500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.739,0.767,0.71,0.76,42100
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.76,0.79,0.75,0.76,10000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.798,0.798,0.752,0.788,12600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.787,0.82,0.787,0.8,16800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.8,0.82,0.8,0.819,45600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.818,0.834,0.8,0.83,19700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.84,0.84,0.798,0.798,6800
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.804,0.838,0.787,0.819,33200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.79,0.832,0.76,0.832,29300
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.827,0.87,0.78,0.85,27700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.805,0.93,0.78,0.866,62400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.88,0.99,0.85,0.93,576300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.31,2.17,1.13,1.9,16551800
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.67,1.9,2.39,5611800
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,3.25,2.03,3.21,1949400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.479,2.36,2.57,1438200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.67,2.758,2.26,2.33,417800
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.97,2.295,2.78,726900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,3.29,2.82,2.98,678500
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.12,3.15,2.81,2.95,276900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.01,3.15,2.86,2.96,265300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3.29,2.81,2.81,490400
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.8,2.81,2.56,2.6,185800
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.58,2.63,2.35,2.4,209100
