date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.57,1.85,1.57,1.753,132900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.77,1.78,1.71,1.75,25900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.847,1.72,1.82,29400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.799,1.81,1.74,1.8,22800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.84,1.685,1.77,15400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.77,1.8,1.75,1.8,18600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,1.8,1.72,1.75,15100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.705,1.73,1.585,1.66,60300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.63,1.7,1.63,1.67,8400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.66,1.59,1.64,4800
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.59,1.621,1.55,1.55,5000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.57,1.58,1.55,1.58,12800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.6,1.5,1.59,35100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.52,1.55,1.49,1.53,4900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.5,1.564,1.5,1.53,8600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.57,1.51,1.56,7500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.31,2.43,2.02,2.23,43378200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.14,1.83,1.83,2017800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.74,1.92,1.73,1.82,520100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.77,1.8,1.61,1.73,361400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.828,1.58,1.67,456300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.75,1.64,1.67,209200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.69,1.72,1.67,1.72,133100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.747,1.68,1.71,133100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.7,1.71,1.665,1.69,67200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.72,1.59,1.66,176600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.67,1.69,1.63,1.68,95900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.68,1.75,1.663,1.72,217100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.8,1.704,1.75,45100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.82,1.68,1.71,64000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.8,1.68,1.76,61500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.8,2.045,1.719,2.02,272400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.99,2.29,1.84,2.16,329100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.14,2.16,1.96,2.04,130800
