date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.94,2.31,1.901,2.11,1671100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.17,2.17,1.96,1.99,988300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.099,1.965,1.99,756800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.1,1.915,2.04,2143700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.205,2.01,2.12,1803600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.135,2.03,2.07,1413000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.19,2.05,2.1,1248200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.23,2.32,2.145,2.2,2237600
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.3,2.34,2.17,2.22,1872500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.22,2.28,2.07,2.11,1300100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.135,1.98,2,840200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.99,2.04,1.89,1.97,1211900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.015,1.81,1.9,948800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,2.08,1.85,2.04,1156800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.155,2.05,2.1,1102200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.22,2.06,2.08,807300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.185,2.08,2.09,837600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.19,2.05,2.08,780700
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.12,1.965,2.1,805700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.06,1.91,1.92,859900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.925,1.825,1.83,918200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.84,1.9,1.79,1.85,865900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.875,1.77,1.79,555500
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.78,1.8,1.72,1.78,642000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.79,1.89,1.77,1.87,563600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.87,1.75,1.76,691700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.775,1.7,1.71,1179500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.83,1.69,1.8,901100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.82,1.945,1.81,1.93,916000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.83,1.86,1.73,1.755,834000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.76,1.84,1.73,1.775,580200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.79,1.9,1.77,1.9,753000
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,1.94,1.856,1.86,972500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,2.12,1.88,2.12,1314900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.29,2.04,2.28,1305900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.28,2.465,2.2,2.44,995600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.42,2.48,2.35,2.39,694700
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.41,2.63,2.36,2.62,1283500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.72,2.85,2.575,2.85,937400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,2.935,2.75,2.84,1037100
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.74,3.05,2.65,2.92,1026000
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.95,3.215,2.94,3.07,1068400
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.11,3.256,2.52,2.605,850700
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.56,2.71,2.47,2.51,700300
