date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.97,14.08,13.8,13.85,99200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.87,14.03,13.59,13.66,129800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.72,13.95,13.48,13.51,121300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.42,13.58,13.36,13.44,136400
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.37,13.81,13.34,13.81,125000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.67,13.78,13.6,13.65,113400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.63,14.16,13.63,14.13,193800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.08,14.11,13.68,14.08,106300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.13,14.26,13.98,13.99,78100
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.9,14.07,13.84,13.87,107400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.71,13.9,13.54,13.77,93300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.89,13.99,13.52,13.68,103900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.77,13.77,13.32,13.56,88000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.68,13.94,13.6,13.84,146800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.93,13.93,13.45,13.63,173500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.82,13.82,13.49,13.75,174500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.32,14.85,14.22,14.5,290800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.81,14.81,13.96,14.08,236400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.14,14.2,13.84,13.94,102200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.9,14.1,13.85,14.01,144900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.02,14.37,13.65,13.66,122600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.63,13.91,13.57,13.85,115800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.79,13.95,13.68,13.73,99300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.58,13.61,13.35,13.4,136100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.4,13.74,13.4,13.58,87800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.57,13.88,13.56,13.64,129100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.6,13.82,13.59,13.79,76500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.85,13.85,13.7,13.78,123600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,14.37,13.8,14.31,148100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14,14.17,13.55,13.74,188100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.87,14.08,13.76,14.07,116800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.07,14.46,14.07,14.39,122800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.38,14.45,14.16,14.18,117800
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.12,14.5,14.08,14.35,132500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.27,14.27,13.79,14.07,99700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.01,14.34,13.97,14.03,150400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.13,14.42,13.93,14.41,76500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.32,14.74,14.32,14.46,119400
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.55,14.7,14.43,14.53,90700
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.45,14.54,14.2,14.24,61900
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.47,14.7,14.34,14.43,109600
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.52,14.58,14.27,14.41,75800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.39,14.51,14.28,14.35,70100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.22,14.33,14.01,14.03,83200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.11,14.34,14,14.33,83200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.39,14.5,14.13,14.22,75700
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.39,14.73,14.27,14.3,66700
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.24,14.27,14.03,14.2,112100
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.2,14.34,14.08,14.15,75800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.17,14.34,14.13,14.25,103200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.25,14.34,14.1,14.23,78600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.12,14.38,14.09,14.3,139500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.3,14.36,14.15,14.16,74500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.16,14.78,14.16,14.74,109900
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.67,15.19,14.64,15.18,113900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.13,15.55,15,15.47,94800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.48,15.57,15.21,15.21,71500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.25,15.28,14.85,14.87,51300
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.05,14.69,14.76,87200
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.89,15.06,14.76,15.04,63600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.04,15.32,15.02,15.12,75400
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.19,15.34,15.11,15.2,58200
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.1,15.1,14.73,14.86,71400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.76,15.22,14.76,15.21,73000
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.29,15.44,15.09,15.17,73400
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.08,15.3,15.08,15.26,45300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.37,15.43,15.08,15.09,52200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.13,15.17,14.81,14.84,52000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.54,14.7,14.23,14.59,87800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.56,14.8,14.52,14.75,48600
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.66,14.92,14.56,14.63,50400
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.62,14.72,14.12,14.17,99400
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.11,14.35,14.09,14.18,94400
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.21,14.32,13.95,13.97,87400
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),13.97,14.08,13.89,13.99,102500
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.47,15.16,14.47,14.7,121700
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.67,14.73,14.5,14.52,85500
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.55,14.74,14.47,14.52,86900
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.57,14.91,14.5,14.59,98000
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.66,15.26,14.05,15.18,119700
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.35,15.35,14.42,14.77,112400
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.79,15.07,14.75,15.01,95900
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.9,14.99,14.5,14.6,91300
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.52,14.88,14.52,14.72,93600
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.72,14.97,14.69,14.92,68100
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),14.93,15.5,14.93,15.28,104900
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.28,15.63,15.25,15.32,126400
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.32,15.54,15.21,15.22,108000
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.2,15.87,15.18,15.87,116800
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.9,16.15,15.71,16.07,138400
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.08,16.129999,15.82,15.89,92800
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.02,16.02,15.68,15.69,67600
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.87,16.030001,15.81,15.94,74400
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.110001,16.110001,15.87,15.97,62100
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),16.030001,16.15,15.78,15.79,58100
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.93,15.99,15.71,15.85,57700
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.82,16.07,15.45,15.78,91500
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.78,16.02,15.59,15.9,83200
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.89,15.97,15.29,15.69,169600
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),15.68,15.8,15.37,15.49,310300
