date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.955,7.35,6.69,6.8,2282400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.62,6.62,6.105,6.42,1767800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.39,6.398,5.91,6.085,2556800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.86,6.44,5.76,5.93,2902800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.88,6.025,5.649,5.72,1708000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.64,5.695,5.41,5.62,1861400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.58,5.8,5.4,5.63,1753100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.59,5.63,5.22,5.39,2108800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.46,5.925,5.28,5.5,2613500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.41,5.47,4.915,4.93,2948400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.7,4.82,4.415,4.68,3010800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.8,5.2,4.631,4.66,2184600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.705,4.38,4.57,2036700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.66,4.96,4.48,4.77,2327400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.95,5.19,4.835,5.1,2442200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.25,5.54,4.91,4.95,2492200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.05,5.29,4.72,4.88,1559800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.92,5.16,4.74,4.78,1408200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,5.16,4.56,5.16,1554400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.02,5.08,4.595,4.61,2478600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.58,5.15,4.45,4.53,3206600
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.65,5.048,4.49,4.7,2376100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.6,4.635,4.32,4.57,2197800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.48,4.13,4.19,1875200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.19,4.475,4.02,4.45,2690900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.68,4.93,4.53,4.76,2009400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.75,4.9,4.62,4.81,1309700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.84,5.386,4.82,5.35,1904200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.42,5.88,5.31,5.67,1691200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.2,5.328,4.965,5.03,2062900
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.31,5.8,5.15,5.74,1986900
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.91,6.02,5.64,5.83,1886800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.59,5.73,5.38,5.4,1541300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),5.28,5.32,5.01,5.12,2050100
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.95,5.05,4.705,4.8,1597400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.81,4.82,4.17,4.2,3130200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.3,4.03,4.18,2057900
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.5,4.01,4.1,2126200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.255,4.05,4.13,1374000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.19,4.47,4.09,4.22,1925700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.35,4.65,3.99,4.01,4155900
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.1,4.35,3.9,4.26,2410000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.29,4.31,3.93,4.01,2251300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,4.078,3.79,3.8,2519600
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,4.14,3.76,4.02,1996500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.2,3.99,4,1185900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.76,4.062,3.62,3.69,4784000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.71,3.91,3.51,3.54,2239700
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.52,3.54,3.18,3.27,3136200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.34,3.13,3.14,3797300
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.16,3.16,2.96,2.98,3325600
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.98,3.26,2.92,3.24,2590400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.21,3.22,3.01,3.01,1362200
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.03,3.085,2.91,2.96,1650600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.92,3.43,2.88,3.33,2165500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.35,3.56,3.28,3.3,1800700
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.3,3.085,3.1,1421300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.07,3.24,3.001,3.12,1657600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.15,3.2,2.84,2.86,1929700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,3.28,2.87,3.27,3327900
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.253,3.54,3.253,3.33,2411800
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.38,3.439,3.17,3.21,1184600
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.06,3.115,2.84,2.9,1789100
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.9,2.97,2.82,2.93,1572100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3,3.19,2.84,2.86,1642700
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.86,2.9,2.75,2.83,1909900
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.86,3.02,2.73,2.73,1966700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.4,2.8,2.36,2.665,4399900
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.57,2.57,2.33,2.42,3049000
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.54,2.54,2.3,2.35,1955700
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.32,2.378,2.1,2.12,2141700
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.13,2.13,1.91,1.97,2953900
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.94,2.02,1.89,1.955,2324000
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),1.98,2.19,1.96,2.11,3360800
