date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.450001,56.049999,55.029999,55.68,603400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.060001,55.25,53.810001,54.439999,692300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.23,54.959,54,54.23,662800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.860001,55.205002,53.860001,54.540001,404100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.740002,56.119999,54.73,56.09,401100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.09,55.220001,54.389999,54.689999,473900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.52,54.790001,53.619999,53.720001,483300
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.57,53.57,51.709999,52.700001,749800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.209999,53.5,52.060001,53.200001,485200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.560001,53.57,52.040001,53.549999,406600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.560001,53.330002,52.41,53.279999,344800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.799999,54.02,52.794998,53.240002,420800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.380001,54,52.48,53.880001,904800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.189999,55.549999,54.189999,55.549999,477200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.009998,56.130001,54.490002,55.040001,500700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.860001,56.25,55.110001,55.25,415200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.119999,56.490002,55.605,55.650002,493800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.84,56.139999,55.275002,55.389999,315100
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.369999,57.689999,55.009998,57.669998,482200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.299999,57.389999,56.349998,56.959999,408900
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.990002,56.990002,54.790001,54.970001,434100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.360001,55.98,54.540001,55.880001,547200
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.490002,57.485001,54.959999,56.860001,591600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.150002,56.244999,54.889999,55.029999,648100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.130001,55.744999,54.119999,54.73,569800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.919998,55.549999,54.060001,54.689999,773200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.200001,56,52.349998,55.220001,1136200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.23,55.395,53.869999,54.169998,881400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.169998,56.459999,53.974998,56.080002,991900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.75,54.75,53.189999,53.630001,1141700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.110001,54.740002,53.34,54.130001,802000
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.02,56.43,54.73,56.369999,1037200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.080002,56.349998,54.814999,55.709999,619500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.93,55.669998,54.52,55.369999,426900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.07,55.09,54.009998,54.779999,456400
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.759998,55.674999,54.57,55.57,575000
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.5,55.450001,53.740002,53.959999,1247000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.669998,54.595001,52.57,53.529999,824500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.799999,53.722,52.759998,53.439999,770600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53,53.869999,53,53.779999,494700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.389999,54.91,53.560001,54.040001,1025700
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.860001,54.369999,53.290001,53.57,772700
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.290001,53.810001,51.98,52.099998,735500
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),51.779999,52.5,51.52,52.34,1141300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.91,52.970001,51.720001,52.049999,506700
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.41,52.810001,52,52.200001,725200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.610001,53.939999,52.332001,53.200001,620900
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.099998,53.450001,52.575001,53.43,632200
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.310001,53.490002,52.41,52.419998,567200
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.790001,54.889999,53.68,54.360001,893100
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.200001,54.200001,52.689999,53.200001,533400
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),52.830002,54.41,52.830002,53.650002,1397500
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.779999,54.5,53.474998,53.709999,608800
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),53.5,56.049999,53.5,55.049999,901600
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.720001,56.23,54.400002,55.669998,410200
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.029999,57.895,55.860001,57.130001,567300
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),56.720001,56.740002,55.580002,55.689999,324500
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.75,56.32,55.310001,55.330002,533600
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),54.630001,55.220001,54.189999,55.169998,556700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),55.709999,57.490002,55.700001,57.490002,743100
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),57.700001,57.830002,56.740002,56.77,432900
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.009998,57.040001,56.014,56.169998,316000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.720001,56.150002,54.900002,55.75,456200
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.48,56.77,55.48,56.259998,429800
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.93,57.110001,55.639999,55.709999,578600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.68,56.580002,55.18,56.360001,455700
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),57.169998,57.380001,56.105,56.700001,666800
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),56.720001,57.389999,56.16,57.119999,399800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),55.860001,56.174999,53.990002,54.040001,681200
