date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.28,8.31,7.7,7.87,1613900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.84,8.02,7.74,7.78,722900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.79,7.9,7.61,7.76,676600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.89,7.73,7.8,774500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.74,8.24,7.74,8.22,707200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.26,7.99,8.03,562500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.15,7.95,8.1,500200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.05,8.08,7.92,8.04,577100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.22,8,8.04,380400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.93,8.08,7.88,8.08,463700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.95,8.37,7.95,8.35,527100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.39,8.39,8.07,8.25,298700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.32,8.32,8,8.14,664100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.25,8.48,8.1,8.47,530700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.51,8.54,8.31,8.41,453100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.5,8.51,8.09,8.09,421300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.19,8.21,8.02,8.11,501000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.16,8.2,8.02,8.04,435800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.34,7.76,8.34,581000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.3,8.3,7.88,7.93,623700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.88,8.08,7.73,7.74,592800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.98,7.69,7.88,387900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.75,7.88,7.66,7.77,630600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.7,7.77,7.64,7.68,748600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.63,7.79,7.61,7.78,816000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.8,7.83,7.72,7.75,541500
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.78,7.93,7.71,7.78,610000
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.81,8.02,7.79,7.96,575300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.94,8.31,7.93,8.3,729100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.02,8.24,7.92,7.96,817700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.07,8.17,7.96,8.07,887300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.14,8.24,7.98,8.24,828100
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.2,8.2,8.01,8.06,532200
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8,8.07,7.94,8.04,611000
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),8.01,8.1,7.95,8.06,788600
