date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),47.049999,47.700001,46.790001,47.23,241100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.91,46.91,46.119999,46.240002,195800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.27,46.610001,45.330002,45.630001,140600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.740002,46.779999,45.240002,46.580002,290600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46.720001,46.720001,45.18,45.849998,258100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.799999,45.98,44.970001,45.360001,191900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.32,45.32,44.450001,44.939999,159100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45,45.380001,44.41,45.16,163100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.889999,46.09,44.93,45.48,203000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.419998,45.900002,44.23,44.439999,189500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.720001,43.919998,43.400002,43.439999,215700
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.779999,43.779999,42.790001,43.509998,357400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.450001,44.150002,43.34,43.98,147200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),43.790001,44.66,43.639999,44.360001,204200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.419998,45.779999,44.419998,45.610001,201400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.970001,46.080002,45.18,45.240002,116900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.799999,46.040001,45.099998,45.950001,225500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.860001,46.369999,45.48,45.580002,97200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.450001,45.580002,44.799999,45.450001,146400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.040001,45.82,45.040001,45.48,103700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.419998,45.419998,44.139999,44.32,330500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),46,47.41,45.41,45.98,864500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.860001,46.740002,44.91,46.139999,298800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.5,45.5,44.16,44.5,368000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.650002,45.290001,44.509998,44.57,265400
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),44.540001,45.119999,44.310001,44.939999,159900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.41,46.990002,45.209999,45.970001,282600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),45.970001,46.220001,45.549999,46,360900
