date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.94,11.86,11.93,92900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,11.99,11.91,11.97,51700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.97,11.99,11.93,11.95,52600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.94,11.97,11.9,11.93,99000
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,12.02,11.93,12.01,47800
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.96,12.05,11.92,11.93,94500
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,12.02,11.86,11.88,110600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.82,11.87,11.79,11.83,146400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.85,11.79,11.8,187900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.84,11.71,11.76,104400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.77,11.67,11.75,275300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.78,11.78,11.67,11.69,276500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.71,11.85,11.58,11.64,611000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.74,11.79,11.73,11.74,99600
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.71,11.83,11.71,11.76,220000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.79,11.81,11.69,11.71,98700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.8,11.84,11.76,11.8,111500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.75,11.79,11.67,11.67,163400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.67,11.83,11.65,11.83,115800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.77,11.84,11.77,11.78,61600
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.84,11.94,11.84,11.91,112800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.09,12,12.08,68600
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.03,11.93,11.98,68700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.92,11.94,11.9,11.92,101100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.92,11.98,11.92,11.96,83100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.99,12,11.91,11.93,145400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,11.93,11.89,11.91,101500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.93,11.97,11.91,11.92,82400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.96,12,11.94,12,69400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.89,11.92,11.88,11.9,54700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.85,11.92,11.85,11.92,82500
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.02,12.05,12,12.05,65800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.03,12.03,11.96,11.98,57300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.01,11.97,11.98,34700
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12,11.94,11.95,95200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.98,12,11.96,11.98,63900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.04,11.98,12.01,57400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.02,12.02,11.87,11.88,61800
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.9,11.9,11.85,11.88,112400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.91,11.94,11.9,11.94,41300
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.96,12.01,11.96,12,30100
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12,12.07,11.97,12.01,67100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.96,12.08,11.95,12.03,49600
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.09,12.12,12.05,12.09,323700
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.07,12.13,12.06,12.09,481500
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.13,12.16,12.12,12.16,54000
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.17,12.17,12.12,12.15,121600
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.18,12.18,12.13,12.14,74000
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.14,12.14,12.08,12.09,111300
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.14,12.14,12.03,12.07,97900
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),12.01,12.01,11.92,11.94,81900
