date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.94,2,1.94,1.97,30100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.96,2.03,1.96,1.96,34600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.99,2.03,1.99,2.01,7900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.03,2,2,21200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2,2.09,2,2.05,32500
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.08,2.05,2.05,12100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.08,2.05,2.07,7600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.09,2.05,2.05,20100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.07,2.04,2.06,8700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.08,2.05,2.06,6200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.1,2.05,2.09,16900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.08,2.04,2.05,24600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.07,2.05,2.06,10900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.08,2.05,2.07,11700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.08,2.08,2.06,2.07,22100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.1,2.06,2.07,19600
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.1,2.09,2.09,16000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.09,2.07,2.08,28400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.1,2.06,2.08,39700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.08,2.05,2.07,29500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.07,2.05,2.07,28900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.08,2.05,2.06,22800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.08,2.06,2.08,35600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.05,2.09,2.04,2.09,52000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.09,2.08,2.09,14200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.09,2.06,2.08,21000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.06,2.09,2.06,2.07,8800
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.1,2.07,2.09,21400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.15,2.09,2.13,60500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.15,2.15,2.05,2.07,29400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.14,2.14,2.07,2.07,12400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.14,2.1,2.11,6900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.11,2.14,2.1,2.12,19300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.14,2.12,2.13,9500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.13,2.14,2.12,2.13,14000
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.12,2.13,2.07,2.1,50600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.11,2.13,2.09,2.1,9600
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.07,2.12,2.07,2.08,20500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.1,2.11,2.07,2.07,54400
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.09,2.1,2.05,2.08,52300
