date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,2.22,1.82,2.17,95300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.16,2.16,1.78,1.99,142200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.04,2.04,1.84,1.875,69300
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.94,1.94,1.78,1.79,80700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,2.15,1.79,2.14,106900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.03,2.04,1.74,1.88,103800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.94,1.94,1.81,1.88,48400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.88,1.88,1.72,1.81,90700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.83,1.84,1.55,1.66,206500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.87,1.55,1.69,112500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.87,1.63,1.8,82200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.81,1.81,1.654,1.69,87500
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.84,1.93,1.72,1.79,640900
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.79,1.85,1.73,1.83,81200
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.77,2.01,1.74,1.93,400200
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.9,1.99,1.8,1.92,178000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.96,1.961,1.72,1.83,124000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.91,1.92,1.79,1.91,161600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.92,1.92,1.765,1.81,102700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.78,1.86,1.75,1.79,79100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.73,1.82,1.61,1.69,84200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,1.77,1.631,1.77,35900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.75,1.68,1.72,30900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.72,1.72,1.6,1.62,38100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.6,1.64,1.55,1.58,40700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.61,1.5,1.53,58200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.49,1.537,1.43,1.48,58900
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.48,1.62,1.42,1.54,235100
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.45,1.609,1.37,1.4,43800
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.496,1.27,1.27,84200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.43,1.08,1.14,386200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.15,1.31,1.11,1.255,266800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.35,1.9,1.35,1.75,2366500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.88,1.9,1.66,1.75,457800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.76,1.85,1.76,1.77,304600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.85,1.85,1.69,1.75,224200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.78,1.9,1.7,1.78,329100
