date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.39,1.47,1.39,1.44,42900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.43,1.75,1.42,1.75,163300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.58,1.62,1.45,1.49,534100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.47,1.56,1.45,1.51,24300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.54,1.59,1.49,1.56,54200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.87,1.87,1.66,1.7,166100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),1.75,2.29,1.71,2.19,549500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.44,2.97,2.3,2.83,1767200
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.99,3.8,1.73,2.28,7966800
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.27,2.88,2.27,2.77,1696100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.69,2.96,2.41,2.8,930100
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.7,2.9,2.62,2.9,746000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.83,3.3,2.83,3.26,1060100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.34,4.12,3.34,4.12,1792700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.21,4.48,3.66,4.09,2213500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.42,3.85,3.91,839300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.81,4.19,3.68,3.7,688300
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.73,3.85,3,3.09,668600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.1,3.58,3.1,3.32,839200
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.4,3.67,3.16,3.3,703100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.5,3.11,3.16,344100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.23,3.28,2.94,3.05,618900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.15,2.91,3.14,516100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.14,3.4,3.11,3.32,448600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.3,3.32,3.01,3.2,336900
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.21,2.87,2.88,370600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,2.91,2.45,2.47,708300
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,2.72,2.52,2.58,164200
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.55,2.68,2.47,2.48,249200
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.45,2.58,2.26,2.28,313000
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.34,2.82,2.32,2.6,316400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.61,3.25,2.61,3.16,640900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.32,3.69,2.93,3.08,1418400
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.19,3.26,2.81,2.86,584400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.04,2.72,2.72,369500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.76,3.09,2.76,2.95,397600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.19,2.96,2.99,336800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.97,3.2,2.91,2.94,457000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3,3.1,2.94,2.96,242900
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.96,3.08,2.9,2.94,221200
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,3.05,2.88,2.88,312800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,3.01,2.87,2.96,400500
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.06,3.06,2.62,2.67,492000
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.62,2.7,2.53,2.63,172300
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.68,2.73,2.6,2.68,79200
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.78,2.78,2.62,2.7,85100
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.84,2.91,2.7,2.73,93000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.73,2.84,2.62,2.68,181900
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.66,2.68,2.48,2.48,260800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.48,2.49,2.3,2.4,424200
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.43,2.55,2.4,2.47,234300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.4,2.9,2.35,2.9,1003300
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.87,3.24,2.77,2.9,411400
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.88,3.2,2.85,3.04,1167200
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.12,2.92,3.02,493800
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.04,3.23,2.98,3.19,566400
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.18,3.33,3,3.08,462900
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.09,3.09,2.88,2.92,225800
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.91,2.95,2.81,2.89,331800
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.93,2.93,2.69,2.85,183600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),2.85,2.9,2.78,2.86,103700
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.82,2.89,2.76,2.87,491100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.84,2.93,2.69,2.74,463300
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.72,2.88,2.61,2.8,911300
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.63,2.73,2.55,2.68,737800
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.69,2.85,2.63,2.68,504200
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.63,2.95,2.61,2.73,371700
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.73,2.82,2.71,2.79,333500
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),2.74,2.78,2.65,2.73,353300
