date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.71,10.76,10.31,10.4,444400
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.45,10.89,10.338,10.42,373200
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.75,11.22,9.68,10.52,753400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.32,11.03,10,10.84,948300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.79,11.26,10.53,11.21,593000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),11.12,11.155,10.86,10.99,533900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.96,11.165,10.39,10.5,506600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.39,10.49,10.03,10.26,459800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.42,10.42,9.66,9.8,359500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.73,9.73,9.32,9.53,463100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.38,9.65,9.18,9.62,376900
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.72,9.798,9.4,9.74,464000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.81,9.81,9.48,9.61,194300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.5,10.13,9.37,10.12,313300
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.27,10.34,9.88,9.95,436800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.09,10.13,9.56,9.86,228100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10,10.24,9.93,10,405700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.15,10.275,9.86,10.02,256600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.05,10.355,10.005,10.16,489600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,10.2,9.735,9.99,320700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.99,10.05,9.725,9.74,221800
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.83,10.13,9.75,9.99,328900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.84,10.01,9.72,9.98,236600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.86,10.01,9.72,9.94,149400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.91,10.1,9.9,10,216800
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10,10,9.76,9.91,158900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.9,10.02,9.76,9.99,239600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.1,10.265,10.04,10.1,301600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.1,10.235,9.89,10.21,423400
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.83,10.13,9.699,9.9,427200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.08,10.17,9.94,10.01,397600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.12,10.16,9.93,10,244400
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.98,10,9.76,9.96,270100
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.87,10.02,9.051,9.54,308900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.54,9.78,9.44,9.75,219600
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.8,9.98,9.565,9.62,243600
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.56,9.85,9.5,9.77,328300
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.75,10.03,9.75,9.99,276000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.1,10.12,9.86,10,426800
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.94,9.99,9.72,9.86,237000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.02,10.1,9.27,9.5,368300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.59,10.5,9.59,9.92,603600
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.06,10.06,9.32,9.54,310200
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.56,9.66,9.21,9.24,345400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.01,9.38,8.26,9.03,1371300
