date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.660004,94.150002,92.269997,93.900002,6132200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.199997,93.199997,91.269997,91.910004,7487900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.150002,93.139999,91.660004,92.150002,8735600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.209999,93.93,92.059998,93.239998,6027200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),93.209999,93.830002,92.279999,93.510002,6738400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),92.75,92.839996,91.660004,92.059998,7594100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.529999,91.970001,91.290001,91.480003,6929200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),90.949997,90.949997,89.540001,90.510002,9400700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),91.279999,91.900002,89.43,89.699997,8301000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.739998,88.160004,84.800003,85.970001,20369000
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),84.849998,85.139999,83.900002,84.410004,17198500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),84.830002,84.980003,83.279999,83.900002,15016400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.910004,85.589996,83.199997,85.339996,14770500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.459999,86.769997,85.440002,85.730003,11626500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.669998,86.849998,85.190002,86.739998,8555700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.32,88.300003,87.199997,87.57,12480900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),88.139999,88.419998,87.330002,88.019997,8792400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.879997,88.5,87.650002,87.730003,6384400
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.400002,87.949997,85.720001,87.620003,7440300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.980003,88.07,86.769997,87.620003,6569300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.709999,88.75,87.230003,87.239998,8414700
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),87.190002,88.169998,85.639999,86.82,8365000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.470001,87.669998,86,87.269997,7728600
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.580002,86.580002,85.089996,85.889999,7788700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.620003,86.550003,85.620003,86.099998,7335500
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),86.260002,86.389999,85.269997,86,4952200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.68,86.230003,85.160004,85.650002,6218200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.690002,86.029999,85.32,85.889999,5664500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.860001,87.639999,85.639999,86.870003,7888000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),85.860001,85.860001,83.089996,83.970001,11339400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),84.540001,84.959999,83.690002,84,5973700
