date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.26,27.790001,27.120001,27.57,68500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.379999,27.5,26.808001,26.83,80700
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.99,27.305,26.99,27.059999,49900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.889999,27.370001,26.615,27.27,119800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.09,27.18,26.795,27.030001,61900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.790001,26.799999,26.082001,26.540001,46800
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.469999,26.49,26.165001,26.43,41800
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.25,26.639999,25.74,26.15,38800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.379999,26.66,25.754999,26,46900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.799999,25.955,25.6,25.77,43500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.43,25.889999,25.389999,25.860001,55000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.889999,26.26,25.77,26.040001,35000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.23,26.52,25.92,26.450001,29000
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.76,27.02,25.92,26.99,32800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.120001,27.25,26.68,26.73,60600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27,27.309999,26.790001,26.950001,34700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.290001,27.49,26.440001,27.219999,62200
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.790001,28,26.514999,26.9,64200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.92,27.67,26.92,27.459999,101900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.58,28.1,27.57,27.6,65500
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.15,27.32,26.26,26.26,133900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.43,26.495001,25.17,25.73,92900
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.309999,25.997999,25.309999,25.459999,45800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.200001,25.275,24.695,24.969999,75600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.91,25.129999,24.23,24.459999,56700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.48,24.559999,23.612,24.26,61000
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.110001,24.33,23.93,24.33,48200
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.18,24.834999,23.950001,24.77,52300
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.780001,25.700001,24.73,25.42,80000
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.450001,24.65,23.82,24.09,100200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.33,24.639999,24.09,24.51,71200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.49,25.32,24.299999,25.219999,82900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25,25.18,24.587999,24.959999,47900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.690001,25.059999,24.65,24.719999,46900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.719999,25.327,24.51,24.58,38500
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.49,24.594999,24.049999,24.33,61400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.41,24.586,24.155001,24.23,28200
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.129999,24.459999,24.034,24.23,35000
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.309999,24.6,24.1,24.200001,44200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.07,24.389999,23.799999,24.059999,58500
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.5,24.75,24.145,24.35,53200
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.190001,24.190001,23.774,23.9,45000
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.940001,24.309,23.719999,23.74,38100
