date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.219999,28.42,28.09,28.219999,1267300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.42,27.950001,27.299999,27.76,1792000
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.01,28.049999,27.700001,27.700001,1398200
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.559999,28.030001,27.530001,27.790001,1368100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.82,27.93,27.629999,27.9,1083000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.299999,27.360001,27,27.01,1473400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.16,27.280001,26.98,27.190001,1425600
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.870001,26.950001,26.5,26.68,1390800
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.83,27.02,26.629999,26.65,1297000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.35,26.41,26.07,26.15,1627200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.950001,26.120001,25.85,26.059999,1987800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.559999,26.709999,26.379999,26.700001,1702000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.51,26.610001,26.27,26.559999,976100
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.76,26.889999,26.59,26.83,1348400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27,27.219999,26.889999,27,1017000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.73,27.809999,27.35,27.370001,2044000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.559999,27.65,27.32,27.57,1073400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.68,27.799999,27.51,27.59,646200
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.469999,27.65,27.27,27.610001,756800
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.309999,27.809999,27.299999,27.73,1513400
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.08,28.16,27.469999,27.469999,1561400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.629999,27.969999,27.559999,27.84,1689100
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.690001,27.83,27.559999,27.66,1932400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.93,27.09,26.629999,27,1096200
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.18,27.48,27.16,27.379999,1048700
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.15,27.42,27,27.42,1836900
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.129999,28.77,28.030001,28.66,3200400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.549999,28.950001,28.469999,28.9,1860500
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),28.67,28.809999,28.450001,28.51,1696700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.34,27.5,26.74,26.959999,2437800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.950001,27.24,26.9,27.120001,1878200
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.08,27.32,27.07,27.209999,1650300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),27.879999,27.879999,27.389999,27.4,1732300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.35,26.530001,26.23,26.32,2419500
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.35,26.459999,26.23,26.299999,860900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.58,26.610001,26.15,26.16,1711300
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.25,26.459999,26.18,26.42,1255800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.120001,26.190001,25.98,26.1,1413200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.43,26.5,26.25,26.4,1492000
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.17,26.17,26.01,26.040001,1132000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26,26.219999,25.969999,26.08,1304400
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),26.049999,26.129999,25.879999,25.93,1191900
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.75,25.82,25.57,25.629999,2114400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.24,25.41,25.08,25.139999,1703200
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),25.48,25.620001,25.360001,25.379999,1108100
