date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.1,7.11,7.07,7.1,117100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.15,7.07,7.11,81600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.13,7.07,7.1,77400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.09,7.1,7.05,7.07,86700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.19,7.06,7.1,142600
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.11,7.05,7.06,140000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.07,7.07,7,7.01,73200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.01,6.96,6.98,61300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.96,7,6.96,7,35000
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.99,6.99,6.78,6.87,220100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.86,6.86,6.84,6.85,112500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.85,6.85,6.74,6.8,2359900
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.81,6.83,6.73,6.8,112600
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.81,6.87,6.81,6.85,67000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.84,6.85,6.82,6.83,45400
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.85,6.91,6.85,6.87,112900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.91,6.96,6.89,6.91,84600
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.84,6.87,6.82,6.83,344800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.87,6.9,6.84,6.9,61600
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.88,6.92,6.88,6.91,84700
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.95,7.04,6.95,6.97,209900
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.03,7.13,7.03,7.12,163300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.09,7.02,7.04,93300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7.01,6.98,6.98,107100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.99,7.06,6.96,7.04,105200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.06,7.1,7,7.02,142200
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.04,7.07,6.99,7.03,123700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.06,6.99,7,67400
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.01,7.03,7,7.02,211700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.96,7,6.96,6.99,106800
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.97,7.01,6.97,6.99,80300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.02,7.07,7.01,7.04,62200
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.02,7.03,6.99,7.03,27300
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.05,6.99,7.03,71800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.02,7.06,7.02,7.02,96200
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.03,7.04,7,7.01,99400
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.05,6.99,7,361000
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.99,6.99,6.93,6.94,64500
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.93,6.94,6.9,6.92,289600
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.92,6.95,6.89,6.93,98000
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.93,6.97,6.93,6.97,191500
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.97,7.02,6.94,7.01,119300
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.98,7.03,6.98,7.01,247400
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.01,7.08,7.01,7.05,120000
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.1,7.05,7.1,73800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.13,7.09,7.1,401200
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.11,7.12,7.06,7.08,172000
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.1,7.1,7.07,7.1,123600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.12,7.12,7.08,7.1,118900
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.12,7.15,7.11,7.14,60700
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.1,7.1,7.06,7.07,37300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.09,7.09,7.02,7.04,85800
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.09,7.1,7.06,7.07,71600
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.06,7.05,7.05,102300
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.05,7.05,7.02,7.04,120300
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.08,7.08,6.99,7.01,99800
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.04,7.04,7.01,7.03,78300
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.03,7.04,6.98,7.01,100900
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7.01,7.01,6.96,6.98,107900
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),7,7,6.94,6.98,166300
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),6.98,7.06,6.92,7.06,221300
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),7.02,7.02,6.91,6.96,166000
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.93,6.93,6.87,6.9,199900
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.9,6.91,6.87,6.89,137200
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.93,6.93,6.9,6.92,80000
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.91,6.91,6.88,6.91,388300
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.93,6.98,6.86,6.95,132200
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.99,6.99,6.94,6.97,133000
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.93,6.95,6.87,6.89,100500
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.92,6.93,6.88,6.93,183400
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.92,6.92,6.87,6.89,89100
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),6.87,6.87,6.79,6.8,56000
