date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.3,14.34,14.02,14.13,684200
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.05,14.05,13.8,13.85,928500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.83,13.94,13.81,13.83,558600
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.76,13.97,13.7,13.73,790500
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.75,14.01,13.73,14,622900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.82,13.82,13.71,13.77,481100
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.73,13.86,13.73,13.85,620000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.8,13.86,13.68,13.81,554300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.99,13.99,13.8,13.86,466500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.73,13.94,13.73,13.87,575200
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.65,13.78,13.56,13.65,567600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.7,13.96,13.68,13.95,783400
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14,14.13,13.84,14.08,1924800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.16,14.39,14.16,14.37,678500
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.44,14.48,14.22,14.22,860900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.33,14.37,13.84,13.86,698000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.01,14.04,13.79,13.89,1010400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.01,14.06,13.83,13.83,451300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.81,14.12,13.73,14.12,532500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.02,14.11,13.97,14.02,809100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.03,14.03,13.71,13.71,950300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.85,13.94,13.69,13.92,607800
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.75,13.93,13.69,13.91,557900
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.68,13.77,13.53,13.59,770100
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.55,13.75,13.49,13.69,805000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.72,13.91,13.64,13.75,708100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),13.73,13.91,13.67,13.89,978400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.82,15.31,14.43,15.23,2831900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.46,15.86,15.45,15.71,1924400
