date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.879999,19.67,18.719999,19,518300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.809999,18.809999,18.030001,18.15,672100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.15,18.309999,17.82,17.91,498100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.700001,17.780001,17.370001,17.59,541200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.469999,18.15,17.18,18.139999,789100
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.799999,18.440001,17.799999,18.08,450000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),18.07,18.290001,17.67,18.24,609100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.959999,19.799999,17.959999,19.75,1150700
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20,20.209999,19.4,19.870001,989200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),19.799999,20.700001,19.52,20.57,814900
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.18,20.469999,19.74,20.02,589300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.280001,20.559999,19.780001,20.200001,623600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.41,20.51,20.01,20.309999,447800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.530001,21.700001,20.530001,21.360001,854100
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.700001,21.98,20.969999,21.43,448300
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.700001,21.809999,21.24,21.559999,505300
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.93,22.59,21.530001,22.1,616400
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.43,22.690001,21.75,22.219999,493600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.370001,22.85,21.84,22.719999,410900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.719999,22.719999,22.24,22.51,594300
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.360001,22.68,21.280001,21.389999,611200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.559999,21.709999,21.24,21.610001,361300
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.27,21.540001,20.98,21.27,367400
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),20.93,22.129999,20.74,21.85,460700
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),21.9,22.700001,21.700001,22.459999,627000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.379999,22.440001,21.959999,21.98,464300
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.049999,22.469999,22.01,22.120001,396500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.190001,22.629999,21.950001,22,1139900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22,23.07,21.68,23.049999,665900
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),22.129999,22.459999,20.950001,21.309999,740100
