date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.25,10.42,10.25,10.38,43300
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.43,10.35,10.4,49900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.44,10.37,10.4,121100
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.39,10.4,10.34,10.35,36300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.34,10.45,10.34,10.44,47400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.44,10.46,10.35,10.36,55900
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.36,10.41,10.34,10.38,75000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.32,10.37,10.3,10.33,39500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.34,10.36,10.3,10.31,56200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.3,10.21,10.22,74300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,10.2,10.13,10.15,95500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.15,10.15,10.06,10.07,42700
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.08,10.1,9.97,10.09,96500
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.12,10.21,10.12,10.15,62700
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.13,10.22,10.12,10.12,127000
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.17,10.2,10.12,10.16,77900
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.22,10.25,10.2,10.24,65700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.22,10.23,10.17,10.18,80300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.22,10.25,10.19,10.24,58300
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.24,10.29,10.18,10.19,77200
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.23,10.28,10.21,10.23,102200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.36,10.28,10.31,137000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.28,10.28,10.2,10.23,100700
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.19,10.21,10.16,10.18,43000
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.18,10.3,10.16,10.28,104000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.29,10.3,10.26,10.28,82600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.27,10.3,10.22,10.28,65500
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.29,10.33,10.24,10.24,112800
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.24,10.28,10.22,10.22,225100
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.06,10.17,10.06,10.17,114400
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.1,10.2,10.1,10.2,94400
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.2,10.29,10.2,10.28,59100
