date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.27,4.32,4.25,4.29,2240900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.49,4.28,4.46,5125900
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.53,4.59,4.41,4.41,3108400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.64,4.39,4.56,6485100
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.49,4.51,4.38,4.47,3455000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.5,4.39,4.45,1712300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.44,4.45,4.38,4.4,2064400
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.38,4.39,4.31,4.35,2392400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.64,4.45,4.46,4219700
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.51,4.59,4.44,4.47,3549500
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.51,4.41,4.49,2829000
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.53,4.4,4.45,3435300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.48,4.5,4.36,4.44,2920300
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.42,4.31,4.31,2491000
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.31,4.23,4.27,2157100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.32,4.44,4.32,4.42,2947100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.42,4.45,4.33,4.38,2107000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.39,4.49,4.38,4.49,3468600
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.5,4.51,4.41,4.43,1796900
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.4,4.45,4.38,4.41,2916100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.41,4.55,4.35,4.45,5000300
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.46,4.55,4.21,4.28,5297000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.31,4.33,4.18,4.22,3457100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.19,4.21,4.03,4.11,3661900
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.13,4.24,4.11,4.12,2391200
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.14,4.2,4.07,4.18,1967700
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.2,4.13,4.19,1639100
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.19,4.21,4.15,4.2,1418700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.31,4.18,4.26,2057700
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.25,4.28,4.17,4.18,1875700
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.26,4.14,4.16,2322800
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.16,4.29,4.13,4.28,2523900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.3,4.37,4.26,4.27,2898500
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.25,4.27,4.19,4.19,2368800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.2,4.35,4.14,4.16,4648700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.18,4.18,4.04,4.11,2878900
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.09,4.09,3.97,4.02,3314800
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.02,4.12,3.97,4.08,2958200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.11,4,4.08,2954100
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.08,4.23,4.05,4.14,4169700
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.11,4.17,4,4.07,4358300
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.07,4.24,4.07,4.16,4599800
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.24,4.25,4.02,4.03,4363100
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.03,4.14,4.01,4.02,2993400
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.11,4.03,4.05,3093100
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.09,4.04,4.08,3816800
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.08,4.1,4.01,4.04,4243500
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.04,4.07,4.01,4.03,1903400
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.03,4.08,3.99,4.04,2688000
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.05,4.09,4.02,4.02,2452400
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.04,4.07,4,4.06,2270300
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.04,4.1,4.04,4.06,4027600
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.06,4.07,4,4.03,4351700
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.95,3.98,3.86,3.88,4975700
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.86,3.87,3.77,3.85,3265500
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.85,4.01,3.85,4,3788200
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),4.01,4.01,3.93,3.93,1587800
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,3.97,3.9,3.91,1916000
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.93,3.93,3.85,3.86,2658700
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.87,3.91,3.85,3.91,1627600
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),3.9,3.96,3.9,3.92,1801200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.93,4.04,3.92,4.02,2829300
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.01,4.02,3.96,3.98,1580600
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.97,4.04,3.97,4.03,1777100
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.04,4.05,3.99,4.01,2686200
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.01,4.04,3.98,4.01,1441500
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),4.02,4.02,3.93,3.93,1620600
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.96,3.96,3.85,3.88,2718800
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.9,3.93,3.86,3.9,2463700
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),3.95,4.01,3.93,3.98,2937400
