date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.110001,17.49,17.110001,17.4,3100
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.49,17.620001,17.4,17.440001,3100
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.264999,17.299999,17.23,17.24,2800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.24,17.24,17.18,17.18,1800
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.049999,17.09,16.76,16.76,3300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.030001,17.030001,16.4,16.4,3600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.92,16.92,14.474,15.76,10500
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.2,15.35,15.16,15.35,400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.48,15.48,15.48,15.48,200
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.6,15.6,15.345,15.385,7100
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.385,15.385,15.385,15.385,0
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.56,15,14.56,14.98,2600
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.1,15.115,14.78,14.78,3700
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15,15.14,14.75,14.945,1900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.95,15.05,14.87,14.87,3600
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.75,15.15,14.73,15.15,9700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.22,15.46,15.085,15.431,2500
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.02,16.030001,15.02,16.030001,800
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),17.610001,17.610001,16.049999,16.59,1500
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.9,16.9,15.77,16.299999,4100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.4,15.89,15.4,15.83,1500
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.83,15.83,15.83,15.83,0
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.87,16,15.87,15.98,1800
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.97,17.57,15.8,15.97,2800
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),16.5,16.5,15.5,15.875,2600
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.15,15.95,14.92,14.92,3100
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.2,15.2,14.99,14.99,2600
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.3,15.71,15.3,15.32,600
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.5,15.5,15.5,15.5,600
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.279,15.28,15.11,15.11,2600
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.6,15.82,15.6,15.82,600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.375,15.7,15.3,15.32,1300
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),14.81,15.69,14.81,15.69,600
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.09,15.3,14.925,15.3,2800
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.31,15.8,15.31,15.8,700
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.22,15.79,15.22,15.79,1200
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.26,15.45,15.26,15.45,400
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),15.572,15.575,15.572,15.575,1000
