date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.719999,23.847,23.719999,23.847,900
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.950001,24,23.84,23.84,1600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.83,23.83,23.83,23.83,400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.893,24.198999,23.75,23.799999,11700
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.85,23.99,23.799999,23.99,2400
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.16,24.16,24.041,24.16,1400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.16,24.16,24.16,24.16,0
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.871,24.200001,23.871,24.15,3400
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.15,24.15,24.15,24.15,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.066,24.120001,23.870001,24.028,10300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.063999,24.09,24.01,24.01,600
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.110001,24.110001,24.09,24.09,2300
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.98,23.98,23.98,23.98,200
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.98,23.98,23.98,23.98,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24,24,24,24,800
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.950001,23.950001,23.9,23.9,3400
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.975,24,23.85,23.85,2000
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.1,24.1,24.07,24.08,1300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),24.01,24.01,23.92,23.92,2000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),23.975,23.975,23.950001,23.969999,4200
