date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.269997,82.150002,79.269997,80.82,31800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.699997,81.410004,77.190002,77.800003,49500
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.610001,79.449997,77.760002,77.900002,28900
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.110001,78.480003,76.760002,76.940002,40600
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77,78.120003,75.910004,78.019997,37000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.769997,77.440002,76.760002,77.129997,33300
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.5,78.07,76.029999,77.699997,36700
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77,78.019997,75.699997,77.75,51500
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.860001,78.860001,75.239998,77.449997,39500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.059998,77.059998,74.830002,74.970001,38300
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),73.889999,80.010002,73.139999,79.739998,77300
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.489998,82.209999,79.730003,80.669998,33000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.139999,81.669998,79.589996,81.57,32400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.18,83.510002,82.019997,83.32,33900
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.989998,83.989998,81.400002,81.830002,36700
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.5,82.900002,81.900002,82.010002,44200
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.849998,83.339996,80.370003,81.360001,26700
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.059998,82.059998,79.019997,81.040001,19300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.489998,83.07,80.489998,83,25400
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.349998,83.970001,82.040001,83.43,45000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.360001,82.68,77.760002,77.769997,49700
