date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.6,0.56,0.59,908800
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.6,0.6,0.53,0.56,1272600
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.56,0.59,0.54,0.56,789400
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.56,0.53,0.54,660200
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.6,0.52,0.59,1745300
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.59,0.59,0.56,0.56,564400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.58,0.58,0.54,0.55,606000
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.54,0.58,0.53,0.54,845100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.55,0.52,0.53,939500
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.54,0.5,0.52,1033600
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.52,0.49,0.49,809800
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.49,0.55,0.48,0.55,1048800
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.55,0.55,0.51,0.53,360400
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.53,0.56,0.5,0.51,711800
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.51,0.54,0.5,0.51,440100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.51,0.52,0.5,0.51,416000
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.52,0.54,0.5,0.51,348800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),0.5,0.54,0.5,0.51,345700
