date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.16,9.26,9.16,9.24,26500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.21,9.3,9.2,9.26,10800
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.3,9.2,9.3,18700
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.36,9.29,9.31,31900
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.35,9.42,9.31,9.42,18200
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.35,9.4,9.27,9.32,21400
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.37,9.28,9.29,21100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.31,9.24,9.27,19100
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.31,9.25,9.27,8400
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.35,9.24,9.29,26400
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.28,9.29,9.24,9.29,3500
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.29,9.25,9.27,4000
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.27,9.27,9.15,9.22,14800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.29,9.36,9.25,9.33,6400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.31,9.48,9.26,9.35,21900
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.46,9.24,9.28,25500
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.4,9.26,9.31,17100
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.26,9.33,9.26,9.32,3900
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.32,9.4,9.3,9.33,22000
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.34,9.46,9.32,9.41,23000
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.46,9.53,9.4,9.42,26200
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.45,9.58,9.43,9.43,39000
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.42,9.35,9.37,8100
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.36,9.44,9.3,9.32,21600
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.44,9.34,9.4,24000
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.44,9.37,9.37,17400
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.34,9.38,9.32,9.37,15400
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.4,9.36,9.37,5900
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.4,9.46,9.37,9.39,19300
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.37,9.37,9.23,9.29,49100
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.28,9.33,9.27,9.3,12300
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.37,9.3,9.33,8900
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.3,9.32,9.27,9.29,13000
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.33,9.35,9.28,9.29,22400
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),9.31,9.33,9.21,9.28,17500
