date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.31,10.31,10.31,10.31,0
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.31,10.31,10.31,10.31,0
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.36,10.36,10.32,10.33,1715
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.33,10.33,10.33,10.33,0
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,30000
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.3501,10.35,10.3501,2000
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.37,10.37,10.37,10.37,35100
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,346
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,0
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,0
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.3801,10.38,10.3801,403
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.3801,10.3801,10.3801,10.3801,0
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.3801,10.3801,10.3801,10.3801,0
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.3801,10.3801,10.3801,10.3801,0
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,500
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,100
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,101
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.38,10.38,10.38,10.38,101
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,100
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,100
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,100
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),10.35,10.35,10.35,10.35,100
