date,open,high,low,close,volume
Tue Jan 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.269997,80.900002,80.089996,80.650002,11500
Wed Jan 03 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.360001,81.379997,79.980003,79.980003,15300
Thu Jan 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.410004,80.410004,79.199997,80.120003,22800
Fri Jan 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.629997,80.190002,79.099998,80.050003,28300
Mon Jan 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80,80,79.199997,79.529999,12900
Tue Jan 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.870003,79.949997,78.550003,79.82,12600
Wed Jan 10 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.43,80.629997,79.43,80.599998,10200
Thu Jan 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.5,80.839996,79.919998,80.769997,20300
Fri Jan 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.129997,81.629997,80.370003,81.559998,12900
Tue Jan 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.93,81.720001,80.540001,81.239998,12700
Wed Jan 17 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.110001,83.400002,80.730003,83.190002,22200
Thu Jan 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.970001,83.480003,82.040001,82.839996,15200
Fri Jan 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.080002,83.709999,83.080002,83.550003,10800
Mon Jan 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.949997,84.290001,82.989998,82.989998,16400
Tue Jan 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.720001,83.720001,82.220001,82.400002,16100
Wed Jan 24 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.150002,83.360001,82.150002,82.599998,10700
Thu Jan 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),83.300003,83.889999,82,83.459999,19800
Fri Jan 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),84.019997,84.019997,81.57,82.690002,40300
Mon Jan 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82.970001,82.970001,81.5,82.480003,15700
Tue Jan 30 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.870003,81.989998,80.809998,81.190002,19800
Wed Jan 31 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.169998,81.169998,79.169998,79.169998,25400
Thu Feb 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.019997,79.349998,78.82,79.040001,17500
Fri Feb 02 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.769997,78.82,76.989998,77.129997,22300
Mon Feb 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.519997,78.089996,75.650002,77.910004,26400
Tue Feb 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.370003,78.529999,77.349998,78.139999,17100
Wed Feb 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.150002,78.150002,76.519997,76.879997,17600
Thu Feb 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.5,76.800003,75.080002,76.5,41700
Fri Feb 09 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.889999,76.989998,76.32,76.5,23700
Mon Feb 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.629997,78.360001,77.089996,78.029999,44500
Tue Feb 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.010002,77.919998,74.849998,75.199997,28200
Wed Feb 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.5,76.550003,75.5,76.370003,16600
Thu Feb 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.379997,78.790001,75.790001,78.410004,26800
Fri Feb 16 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.589996,79.220001,77.599998,78.239998,33900
Tue Feb 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.239998,82.190002,77.730003,80.279999,91900
Wed Feb 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.449997,81.309998,78.800003,80.07,38900
Thu Feb 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.620003,79.849998,78.519997,78.830002,49100
Fri Feb 23 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.550003,79.57,77.699997,78.790001,52500
Mon Feb 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),78.82,79.220001,78.160004,79.120003,54200
Tue Feb 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.230003,80.160004,78.93,79.029999,112200
Wed Feb 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.379997,80.959999,78.800003,79.529999,135600
Thu Feb 29 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.529999,77.360001,73.970001,77.330002,168800
Fri Mar 01 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),77.300003,77.300003,74.379997,74.910004,44100
Mon Mar 04 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.980003,76.800003,74.529999,75.809998,56300
Tue Mar 05 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.980003,75.980003,74.330002,74.660004,34100
Wed Mar 06 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.599998,75.739998,74.360001,75.68,55800
Thu Mar 07 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.25,76.449997,75.269997,75.769997,27900
Fri Mar 08 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.889999,76.019997,74.760002,75.699997,25800
Mon Mar 11 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.139999,76.059998,75.059998,75.989998,35600
Tue Mar 12 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.809998,75.989998,75.040001,75.949997,25800
Wed Mar 13 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76,76.940002,76,76.5,31000
Thu Mar 14 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.650002,76.660004,74.940002,75.059998,25700
Fri Mar 15 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),74.93,76.220001,74.93,76.059998,169400
Mon Mar 18 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),75.989998,76.809998,75.82,75.93,42500
Tue Mar 19 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.129997,76.959999,76.129997,76.93,41200
Wed Mar 20 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),76.949997,79.010002,76.650002,79.010002,64900
Thu Mar 21 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.440002,80.389999,78.800003,80.260002,57600
Fri Mar 22 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.360001,80.360001,79.239998,79.459999,38100
Mon Mar 25 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),79.18,80.480003,79.18,80.480003,29100
Tue Mar 26 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),80.699997,81.690002,80.699997,81.410004,38500
Wed Mar 27 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),81.849998,82.18,81.059998,81.860001,30200
Thu Mar 28 2024 02:00:00 GMT+0200 (שעון ישראל (חורף)),82,83.800003,81.849998,83.800003,60200
Mon Apr 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.910004,83.910004,82.540001,82.919998,38100
Tue Apr 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.769997,82.769997,81.830002,81.970001,39400
Wed Apr 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.150002,82.150002,81.260002,81.839996,35700
Thu Apr 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.379997,83.199997,81.889999,82.629997,40600
Fri Apr 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.849998,83.169998,82.360001,83.019997,26000
Mon Apr 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.199997,83.559998,82.349998,82.370003,28400
Tue Apr 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.650002,82.650002,80.910004,81.010002,15700
Wed Apr 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),80.480003,80.480003,78.57,79.68,29800
Thu Apr 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.809998,80.010002,79.620003,79.75,34200
Fri Apr 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.760002,79.989998,79.110001,79.589996,18000
Mon Apr 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),80.150002,80.150002,78.849998,79.339996,19800
Tue Apr 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.459999,79.959999,78.940002,79.139999,15600
Wed Apr 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.239998,79.839996,79.029999,79.370003,23000
Thu Apr 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.75,80.360001,79.540001,79.989998,32600
Fri Apr 19 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.760002,81.629997,79.760002,81.599998,29400
Mon Apr 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.660004,82.910004,81.599998,82.290001,48000
Tue Apr 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.959999,83.879997,82.790001,83.440002,25800
Wed Apr 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.440002,83.709999,83.059998,83.389999,19700
Thu Apr 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.349998,83.349998,82.269997,82.949997,20200
Fri Apr 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.760002,83.559998,82.760002,82.980003,17000
Mon Apr 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.459999,83.089996,81.669998,82.019997,22800
Tue Apr 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.599998,82.800003,81.440002,81.989998,28800
Wed May 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),82.459999,84.080002,82.459999,83.129997,38000
Thu May 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.779999,84.050003,83.220001,83.760002,23500
Fri May 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.459999,84.830002,83.349998,84.080002,18400
Mon May 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.949997,84.75,83.830002,84.18,18700
Tue May 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.010002,85.330002,84.010002,84.839996,18100
Wed May 08 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),84.769997,86.059998,84.230003,85.760002,16500
Thu May 09 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),86.080002,86.080002,85.019997,85.849998,16200
Fri May 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),85.470001,85.470001,82.82,84.309998,31700
Mon May 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),83.589996,83.970001,81.410004,81.519997,46900
Tue May 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.580002,81.580002,79.160004,79.889999,46500
Wed May 15 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),80,81.370003,79.5,81.309998,75900
Thu May 16 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.349998,82.410004,81.18,81.779999,51100
Fri May 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),81.839996,82.169998,80.379997,80.379997,68600
Mon May 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),80.129997,80.940002,79.940002,80.080002,41400
Tue May 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),79.760002,80.269997,77.839996,77.980003,54500
Wed May 22 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),78.199997,78.849998,74.919998,75.050003,48700
Thu May 23 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.419998,76.139999,74.540001,74.949997,50600
Fri May 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.379997,75.379997,74.18,75.089996,37800
Tue May 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.57,75.760002,74.550003,74.550003,30500
Wed May 29 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.480003,74.620003,73.620003,73.760002,37700
Thu May 30 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.220001,74.720001,73.599998,74.620003,32200
Fri May 31 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.68,75.790001,74.32,74.480003,47200
Mon Jun 03 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.120003,75.120003,73.599998,73.760002,27800
Tue Jun 04 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.019997,74.07,73.5,73.879997,32400
Wed Jun 05 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.129997,74.239998,73.5,73.900002,24900
Thu Jun 06 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.75,74.379997,73.5,74.269997,23900
Fri Jun 07 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.230003,75.18,74.110001,74.139999,33600
Mon Jun 10 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.830002,74.769997,73.809998,74.400002,37400
Tue Jun 11 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.860001,74.190002,73.540001,73.800003,51200
Wed Jun 12 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.839996,74.879997,73.959999,74.059998,49300
Thu Jun 13 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.900002,75.589996,73.779999,75.589996,33200
Fri Jun 14 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.839996,74.839996,73.839996,74.230003,56900
Mon Jun 17 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.419998,74.419998,73.07,73.519997,74400
Tue Jun 18 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.510002,73.629997,72.07,72.910004,91300
Thu Jun 20 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),72.629997,74.379997,72.629997,73.629997,82200
Fri Jun 21 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.830002,74.730003,73.330002,73.459999,583400
Mon Jun 24 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.839996,74.089996,73.050003,74.010002,82300
Tue Jun 25 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.639999,74.239998,72.970001,73.57,65100
Wed Jun 26 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),73.32,74.720001,73.199997,74.629997,38200
Thu Jun 27 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.559998,74.650002,73.559998,74.279999,40700
Fri Jun 28 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),74.839996,75.790001,74.839996,75.129997,87300
Mon Jul 01 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),75.059998,75.209999,71.410004,71.440002,52800
Tue Jul 02 2024 03:00:00 GMT+0300 (שעון ישראל (קיץ)),71.129997,72.32,70.620003,71.949997,38600
